,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,MOp,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSp-un,SSs,PTLp,RSPagl,RSPd,RSPv,VISp,VISal,VISl,VISpl,VISpm,AId,AIp,AIv,TEa,PERI,ECT,AUDd,AUDp,AUDpo,AUDv,GU,VISC,LA,BLA,BMA,PA,CA1,CA2,CA3,DG,SUB,ACB,CP,FS,SF,SH,sAMY,PAL,VENT,SPF,SPA,PP,GENd,LAT,ATN,MED,MTN,ILM,GENv,EPI,RT
BMA,0.26577329959041895,0.39437804860760967,0.48300580345649735,0.6123820952633041,0.4062482062027982,0.5190127580632439,0.4180194425390711,0.22915612967665558,0.0900413083599249,0.14985704659600171,0.08077829613260287,0.139251598222346,0.16613546806767485,0.013447536859694282,0.19465550125554867,0.3094574817918199,0.03500682983682115,0.0,0.02314259601034366,0.0579359345940285,0.0,0.07887867869613294,0.10928645432124882,0.10999104572821206,0.0,0.49365740692536203,0.6027484131374239,0.5565819592764513,0.5397591681159224,0.5318433398302197,0.6097769847391165,0.0735179595080467,0.23418924570251085,0.1620387190167148,0.4325911431571392,0.4846615648054042,0.5316430170912714,0.7851545035411446,0.8562086545835443,0.0,0.8890516428032127,0.5849436849942832,0.5201484983080413,0.49538703136702195,0.46975559273857614,0.49482924189024496,0.5693429405114995,0.5443349046571372,0.6742285865650657,0.3798112093242684,0.2439735924296167,0.8064491806907554,0.6389772372006121,0.2036227772077894,0.31361149235847163,0.4637895250473995,0.376747791536217,0.14740767039996652,0.08488755146333671,0.3600063749346544,0.45887708492338347,0.5705412212121403,0.34840771233434237,0.1390415545827318,0.5100218349778171,0.3175624342111962
PA,0.07727533265365173,0.3237095904848675,0.3669715687783504,0.5703243481290552,0.12056019896106059,0.4396128793344727,0.2985059159775979,0.0,0.0,0.08111063849009084,0.0037525341328776335,0.0,0.03110601439535016,0.0,0.046001713152439234,0.1471226967252921,0.0,0.003751537497537557,0.0,0.0,0.0,0.0018867689144436955,0.04632151549446085,0.10269448951557408,0.0,0.2549967325543663,0.48862550831637025,0.34879793154085464,0.4612144863562606,0.45197350203272413,0.5276645782692703,0.008789907668463912,0.16763814722075626,0.09645132362619935,0.3522125671108279,0.34866639482500167,0.40528000207046405,0.7565900799217609,0.863528569931236,0.8890516428032127,0.0,0.6264780137437428,0.5967031064232358,0.5602056332548506,0.5035084691544613,0.5400620006843897,0.5223312949243863,0.4372084995123669,0.5757878457638541,0.45035672623800166,0.29860524548627204,0.7876053159520529,0.6000543780198333,0.11198522506902418,0.13628538548889813,0.28183064391991736,0.24272076703843015,0.01580845635639227,0.0,0.33964061081414754,0.394420522472249,0.5452881030117845,0.2426943602616049,0.01422718792601223,0.41039499787387446,0.3001329061113122
CA1,0.18459311966276126,0.27182998881302783,0.23856566805937857,0.38331877766590006,0.13657176860987016,0.2813100922320688,0.21781689525844003,0.062343489030001566,0.055037754925031455,0.15204709422739132,0.1294499241369242,0.033174321288431716,0.06830739385875441,0.2288098757108042,0.08366635157479498,0.17462893327469892,0.22421568576173787,0.2571883364577451,0.29813428267838277,0.4374833770663929,0.17922011073784685,0.20809699230464804,0.285736002046524,0.3033711815190903,0.24452641204381986,0.17774399785014458,0.3553623235657628,0.2554748819092321,0.43868089967567575,0.5008025706801887,0.5214526031773677,0.14111818086146888,0.2259668327199081,0.235691397182217,0.343171699756208,0.24963895667594801,0.29043257986160265,0.5320173711910591,0.6061013387850563,0.5849436849942832,0.6264780137437428,0.0,0.9404745265541895,0.9347923822487214,0.9125179602795551,0.8444732392504909,0.422297059601418,0.2600212189426642,0.3411492020339069,0.6642026543385647,0.6078809842554138,0.3886220476926089,0.5032511168493057,0.24557311056086648,0.2615833931238915,0.34310716049702283,0.13443446017216593,0.17570021164157734,0.48197299690681616,0.511164876085613,0.4328074941176976,0.5772189614601695,0.3114463579825009,0.22761766099724992,0.26638441561013987,0.3438441999005476
CA2,0.079938266330399,0.16978910802514954,0.17278777927798708,0.3268288081715538,0.06279430635592625,0.18863836828867986,0.14496979157720494,0.0,0.05518216741399639,0.1005616816179084,0.0,0.00239593969343511,0.0,0.10773703664522541,0.01512037944073421,0.09273085750165141,0.11865281199940957,0.0791165666111454,0.09389725353009344,0.1999252192114293,0.053824634100140115,0.05862898198454435,0.08356997390609756,0.1271414296068656,0.026941565532137578,0.06940157381042168,0.14606951496658363,0.12824196345241332,0.2911149658338448,0.33752115698434904,0.36905403153672467,0.006021029369876928,0.03735464342287315,0.06813114185909215,0.19280540626919476,0.06820414779875804,0.08602789966337071,0.3992582887479902,0.5254105925520318,0.5201484983080413,0.5967031064232358,0.9404745265541895,0.0,0.9970730263959482,0.9119134820245819,0.7959940370914946,0.3221812897255959,0.2045757687412166,0.1659151540980873,0.7649727431883185,0.6706531270459775,0.2855968823693426,0.5180447866479204,0.13583079544588644,0.06809667407502933,0.0475467857637234,0.05433184287105311,0.17320696384299253,0.4483069567144614,0.4484381087649102,0.18482263643511812,0.35987564396414595,0.10760172424417994,0.2991154095125699,0.16759927629301177,0.26031048209510077
CA3,0.07508053396004181,0.19001429320939314,0.16394049655314158,0.3097923259122303,0.03714356365162744,0.17191325091643153,0.12452567152865254,0.0,0.004404875215278628,0.0306144609260181,0.003510158870448634,0.0,0.0,0.056488558763578625,0.0,0.04562266091130024,0.11549132308406115,0.16226051737442668,0.16435586165182606,0.2298611572104825,0.1487651095744959,0.12442552126246867,0.196671804687842,0.2510190876732451,0.19184018118052315,0.05104213512735419,0.1587487751727185,0.10509812377465862,0.26636899347226867,0.3208825749551554,0.32234449664374276,0.0,0.048516515268273525,0.10740180301028383,0.16106052346240363,0.10122230286220632,0.08256144799176063,0.3662541803059446,0.4973534403375984,0.49538703136702195,0.5602056332548506,0.9347923822487214,0.9970730263959482,0.0,0.9388105473063327,0.8205493430856052,0.2844403381916688,0.16872829204778086,0.1448608160348164,0.7430040572513743,0.6143893529563988,0.26093334356097053,0.5125052913834568,0.18460383341898115,0.11380220085994623,0.1448779120993785,0.18666589237549222,0.2464174837316614,0.4953696994864154,0.4766620879720905,0.1840669243808237,0.34160526136269403,0.14904715999664242,0.34682526873997566,0.14167970338848515,0.3030136584420338
DG,0.16859102130449605,0.279726677544274,0.20587549522746493,0.3551310705836208,0.030224210660113954,0.22496079551316236,0.15197218284340183,0.0,0.0,0.01518399089389385,0.047782823405784165,0.015189242254317014,0.02331683538329164,0.11353012569016306,0.008657903549787634,0.10140447850815752,0.21021998123807628,0.29302778911913285,0.3232988495259144,0.45619163104621746,0.27322498444580634,0.2239431893242804,0.29950133416583863,0.3570353534443873,0.34176363100253365,0.10963302005268233,0.2611121463129099,0.167173421883048,0.35772410135668514,0.4135550597630202,0.4164667340684649,0.05549436861529533,0.16145979130387567,0.2073798952419637,0.2554949978987023,0.21498531175776892,0.1806307425603386,0.35916043710242973,0.46824375257689466,0.46975559273857614,0.5035084691544613,0.9125179602795551,0.9119134820245819,0.9388105473063327,0.0,0.8763919734707216,0.33704604625435564,0.1962123994518971,0.2080844778586816,0.6451014476006894,0.5130905792707501,0.2962025882377448,0.46893887241997867,0.2747828848057343,0.2947506184917789,0.3363720087845037,0.26437756599256157,0.25867668101075403,0.5692860028472647,0.564733666135019,0.37814711830131953,0.5128261725431132,0.31051953945771604,0.28458964931621,0.24002165365843475,0.37224680610946165
SUB,0.36384252161626407,0.4251568520161411,0.3103141820608416,0.45187624939128374,0.18813750939987928,0.338478491391077,0.28322592484193326,0.1445857762718058,0.09220015161283997,0.2555086701496161,0.1882944793498981,0.07421120642858021,0.15057875052823286,0.31637559638863333,0.17576141459135775,0.2716196498736404,0.39325717075648864,0.4788460017695982,0.528837738640411,0.6519153745488736,0.4257619726798453,0.4284078659248561,0.4969524413988379,0.5275282784367644,0.5043550442465515,0.21580363510752404,0.4259847366230529,0.2893595661201587,0.5215771868998532,0.5839079082222264,0.5598540653419745,0.31224063465202384,0.37240308904696,0.4310439441572448,0.4289837156943782,0.34677085024748394,0.35590202059652243,0.5468901440739632,0.5464286243836515,0.49482924189024496,0.5400620006843897,0.8444732392504909,0.7959940370914946,0.8205493430856052,0.8763919734707216,0.0,0.43964119792971845,0.29075172932493204,0.34940121596034823,0.6055122624056113,0.5282846897394231,0.322203031885918,0.5054965561206752,0.4061978918525828,0.3795258379679802,0.412349777945025,0.2623473206471914,0.28051745060860916,0.5022240138149333,0.6361936520424252,0.5283799916757429,0.6653125837834699,0.4478462299263974,0.233341361956291,0.3143151051034315,0.5157743626243002
ACB,0.29892542586878523,0.3181229071154344,0.4532038534017504,0.5268691887850978,0.36609792714708983,0.5406214865668056,0.4335154977410125,0.34707913599292095,0.1980425307785904,0.18243929195011835,0.18021171480580517,0.23292749271404628,0.1885503858755443,0.18181526325598563,0.14955448450530956,0.24788552061623165,0.1375724422690113,0.13256601725472852,0.1195666288336782,0.15360314229621003,0.0,0.10404378686540479,0.12165279019932915,0.09705008031548877,0.08573970957967587,0.48080722245710134,0.5000361157617184,0.5423675208344223,0.34240920673406317,0.3845481900039699,0.45265508608422317,0.1438500235591348,0.16294579356762745,0.1351597381268769,0.27845224599851337,0.40292459051675883,0.4362524696388642,0.6051849220529982,0.6457609019545238,0.5693429405114995,0.5223312949243863,0.422297059601418,0.3221812897255959,0.2844403381916688,0.33704604625435564,0.43964119792971845,0.0,0.5309470176329805,0.6668444151893153,0.4762577029901061,0.28610435570253284,0.5046269086940174,0.6541002782429203,0.2742186859433565,0.3182480565581635,0.48657689945132615,0.008680311614920342,0.0,0.10996320976151647,0.4561410686842823,0.5246602856083704,0.617720559804355,0.41397531549376837,0.0,0.5836489831674764,0.3661947505196105
CP,0.5309725901888004,0.513552359308569,0.5250248869797159,0.44058672052771286,0.45956818543651384,0.4795897532696119,0.4676487028047107,0.555458386994546,0.558917182353773,0.40481027160121025,0.4129322392252642,0.5367056807186374,0.48176985039872317,0.4115353615805165,0.49218691755201804,0.4604599021583542,0.35497633811969187,0.3285815256145142,0.3166964733606389,0.32366538340416784,0.2514871168874355,0.33564368730022986,0.3226827341380657,0.2945007548718297,0.31772568086195446,0.5672678987392784,0.545402727002949,0.5777082479764437,0.4375030641939814,0.44892875106301244,0.49418642873956065,0.32597572880783193,0.3059808628792433,0.3256666866390404,0.36799001764217165,0.5241501425662071,0.49578565220799514,0.7038750738673892,0.6741822807968428,0.5443349046571372,0.4372084995123669,0.2600212189426642,0.2045757687412166,0.16872829204778086,0.1962123994518971,0.29075172932493204,0.5309470176329805,0.0,0.6836085807865965,0.4011581164116834,0.3209656243716009,0.6058094514960015,0.5875883678399337,0.4407731009358093,0.4885528343313128,0.517999306012924,0.5787375266750104,0.3496739251445625,0.39622686192347245,0.40724306191898596,0.48704518681697845,0.4565848900170966,0.4950682489444456,0.3340969042531489,0.39173416743525474,0.45479009983343643
FS,0.2219774556979963,0.1596374536429947,0.3876654595317013,0.4152920145354798,0.4797386626039686,0.46749664038504385,0.4546004472099153,0.5300103548435839,0.34071399942167746,0.20449359770201847,0.1224684886992648,0.47056046874690227,0.33597719145568933,0.03458290846883886,0.2764614133684367,0.4296773262147115,0.0,0.0,0.0,0.0,0.0,0.07847394547095086,0.0842432728736518,0.06141602343400961,0.0,0.6313998930667137,0.682590330950614,0.6598076656104868,0.44448235057930086,0.5194401410081835,0.587594110681185,0.16093098684956977,0.16979808070739305,0.12081120892461054,0.31577538933206284,0.6058688338378231,0.6246229157761446,0.6951935815917402,0.7316641404498666,0.6742285865650657,0.5757878457638541,0.3411492020339069,0.1659151540980873,0.1448608160348164,0.2080844778586816,0.34940121596034823,0.6668444151893153,0.6836085807865965,0.0,0.08531490835373814,0.0930600351261842,0.7396908951533043,0.6934321529078992,0.37352782270372153,0.5296802495496848,0.6206591701439658,0.2919314100143446,0.07343901745457684,0.22566307334596086,0.32134764082719725,0.5400461879745042,0.5259880864846294,0.48703985055767457,0.08079736016896977,0.5279140666471561,0.3304956674147973
