,genes
926,S100PBP
927,THAP3
928,C1QL3
929,PCCB
930,RTN4R
931,NDUFB7
932,LYSMD4
933,EPHX4
934,TNS1
935,LCP1
936,FHDC1
937,SPON1
938,OPHN1
939,PTPRU
940,ARHGAP36
941,SEMA3C
942,TMED8
943,GNG12
944,LGR4
945,BMP7
946,ALOXE3
947,REXO1
948,SGPP2
949,SIKE1
950,TPI1
951,GABRA2
952,NAP1L3
953,SGSM2
954,ADRM1
955,PPP3CC
956,GCC2
957,TTC13
958,GRIK2
959,MPP5
960,CHD5
961,PSMB2
962,LIG4
963,PTAR1
964,GCK
965,CNTNAP2
966,S100A6
967,SKAP2
968,TMEM258
969,ABCA7
970,USP12
971,DAPK1
972,NCDN
973,MTRR
974,OTX2
975,RTTN
976,FIS1
977,ALAS1
978,TNRC6B
979,P2RY6
980,JPH4
981,STAMBPL1
982,SEC16A
983,HMOX2
984,UBXN6
985,SEZ6L2
986,TUBGCP2
987,DAAM1
988,CPNE7
989,SIN3A
990,RBP4
991,CORO2B
992,EFNA2
993,DDA1
994,SUFU
995,PSMA7
996,SDHAF1
997,BSN
998,TEX10
999,COX6B2
1000,SLC38A6
1001,NARF
1002,RNF208
1003,CTSA
1004,CC2D1A
1005,NDUFV2
1006,SYT6
1007,CAND2
1008,PITPNA
1009,RAP1GAP
1010,PPIA
1011,LYN
1012,ASH1L
1013,FNDC5
1014,BAG6
1015,GEM
1016,FOXP4
1017,FBN2
1018,CD164
1019,IDNK
1020,CDH23
1021,GPR137B
1022,CBFB
1023,STC2
1024,IKBKE
1025,PIP5K1B
1026,ZNF398
1027,TNKS1BP1
1028,TNNI3
1029,SEC14L1
1030,FASN
1031,CPLX3
1032,BDH1
1033,CCNI
1034,MAP2
1035,SMAP1
1036,NME5
1037,FOSB
1038,ALKBH6
1039,BTBD9
1040,IPO5
1041,FZR1
1042,ARPP21
1043,TGFA
1044,TSPAN18
1045,ARRDC1
1046,CHRM2
1047,CELF3
1048,POLA1
1049,TM7SF2
1050,LZTFL1
1051,ACTR3
1052,MAML1
1053,MREG
1054,LMF1
1055,APOOL
1056,HMBS
1057,SNAP91
1058,IFIH1
1059,AGBL4
1060,PLA2G3
1061,ALKBH8
1062,KCNB1
1063,DEGS2
1064,RBBP7
1065,PLD2
1066,BMP4
1067,NOVA1
1068,FBXO3
1069,PCDH9
1070,WWOX
1071,REL
1072,DDX60
1073,LEFTY1
1074,NPHP1
1075,LEF1
1076,STK10
1077,CPNE9
1078,IGSF3
1079,ARSI
1080,EDC3
1081,PRDX5
1082,UBE2O
1083,HTR1D
1084,EML4
1085,PTPN14
1086,SNX32
1087,PLA2R1
1088,KIAA1217
1089,NFKB1
1090,GAPDH
1091,B9D2
1092,NSL1
1093,SLC17A7
1094,SSH3
1095,NTRK3
1096,KCNA5
1097,WIZ
1098,ZDHHC5
1099,TMEM185B
1100,TRIM11
1101,MRPS23
1102,APLF
1103,LMO1
1104,NEB
1105,PPP1R11
1106,CACNA1E
1107,PTPN11
1108,WIPI1
1109,VSIG8
1110,LGALS3
1111,SERPINB6
1112,CCDC124
1113,STK25
1114,SCN2A
1115,CPSF3
1116,TFPT
1117,GMPPB
1118,CHRD
1119,FEZF1
1120,SLC20A1
1121,ERF
1122,RABGAP1
1123,GYS1
1124,PLCB1
1125,INIP
1126,TMEM37
1127,LRP12
1128,STX6
1129,PRRC2B
1130,C1orf226
1131,VWC2
1132,FBXO45
1133,RGS8
1134,SV2B
1135,CRELD1
1136,ANO3
1137,SUN1
1138,TRIM7
1139,NEIL1
1140,CDK17
1141,SPI1
1142,PSMG1
1143,SUGP2
1144,NCAM1
1145,MPPED1
1146,SPECC1L
1147,NRK
1148,BARD1
1149,FOSL2
1150,CSRNP2
1151,RAMP3
1152,HSBP1
1153,STK11IP
1154,AASDHPPT
1155,CSPG5
1156,TSPAN6
1157,UBXN11
1158,VILL
1159,KEAP1
1160,B4GALT5
1161,CHGA
1162,CD83
1163,CNTN1
1164,DNAH2
1165,DNMT3B
1166,HFM1
1167,WNK1
1168,COLQ
1169,WNT4
1170,SUGP1
1171,DPP10
1172,ABI1
1173,DDX55
1174,UGGT2
1175,GRM3
1176,PANK2
1177,MCM10
1178,PPP3CB
1179,MAPK8
1180,GRIN2A
1181,DAB2IP
1182,TRUB1
1183,NPC2
1184,SHB
1185,MYH7
1186,RGS16
1187,LAG3
1188,TNPO2
1189,PPL
1190,MYCL
1191,AVPI1
1192,SYT7
1193,STEAP3
1194,SPRED1
1195,LAMB3
1196,TULP4
1197,CASP6
1198,GALNT9
1199,B4GALT1
1200,KMT2E
1201,OPALIN
1202,DCUN1D1
1203,FZD7
1204,SPRYD3
1205,FANCE
1206,LGALSL
1207,MCTP1
1208,F2RL2
1209,TADA1
1210,CDC42SE1
1211,TBRG1
1212,SLC4A8
1213,FBXL15
1214,TUSC3
1215,BTBD10
1216,CDH9
1217,SH3YL1
1218,BCAT1
1219,KBTBD8
1220,TIPRL
1221,TSEN2
1222,ZNF277
1223,LTK
1224,RAPGEF5
1225,GLRX2
1226,ANLN
1227,ZNF541
1228,ANKRD44
1229,AKT1S1
1230,ATF3
1231,MBOAT7
1232,TMEM120B
1233,DENND3
1234,KIF5C
1235,TRIM33
1236,DNAAF1
1237,STAM
1238,RNF115
1239,VOPP1
1240,ATP1B1
1241,CPD
1242,PCDH11X
1243,GNPTAB
1244,FUT10
1245,KLHL13
1246,DNM3
1247,SH3BGRL3
1248,KLHDC8B
1249,PFN4
1250,FNBP1
