,genes
819,MXRA8
820,CBX6
821,GPD1L
822,SEMA3C
823,GNG12
824,FAM189B
825,BMP7
826,ALOXE3
827,SLCO4A1
828,SIKE1
829,TRAF4
830,MXI1
831,SGSM2
832,PPP3CC
833,ARHGAP15
834,GCC2
835,GMCL1
836,GRIK2
837,GZF1
838,MVP
839,GSTM1
840,HK2
841,CTNNAL1
842,SLC16A1
843,GART
844,LTN1
845,CUL1
846,CSF1R
847,CNTNAP2
848,ADAMTS13
849,TRPV2
850,SKAP2
851,E2F6
852,GHR
853,MED20
854,ZNF334
855,DYNLL2
856,SALL1
857,DAPK1
858,SLC22A2
859,BTBD17
860,MRPL48
861,ALAS1
862,P2RY6
863,STAMBPL1
864,SEC16A
865,APH1B
866,HMOX2
867,LRP1B
868,PCSK5
869,TUBGCP2
870,PIAS4
871,CPNE7
872,PKD2L1
873,EFNA2
874,USP53
875,SLC16A2
876,NARF
877,COL14A1
878,FAN1
879,RNF208
880,CTSA
881,CC2D1A
882,SYT6
883,MED14
884,SERINC5
885,COL22A1
886,KLC4
887,TTLL4
888,PITPNA
889,TAF1D
890,LYN
891,ZBED3
892,FNDC5
893,VAPA
894,GEM
895,EHD4
896,IDNK
897,CDH23
898,CLPX
899,CBFB
900,STC2
901,KRT222
902,ZNF398
903,PAPSS2
904,TNNI3
905,COMT
906,SEC14L1
907,BDH1
908,CCNI
909,TTI1
910,LRCH2
911,NME5
912,FOSB
913,GALNT10
914,SLC40A1
915,RBMS1
916,DHX8
917,PLXNB3
918,IPO5
919,ZNF282
920,DIP2C
921,TGFA
922,TSPAN18
923,ARRDC1
924,HCLS1
925,CAPN7
926,CELF3
927,CAMK2G
928,WARS2
929,RHBDF2
930,POLA1
931,IBTK
932,LZTFL1
933,NFIA
934,CREBBP
935,MREG
936,PDE6H
937,DAPP1
938,GRID1
939,HMBS
940,AGBL4
941,THEM6
942,CLDN10
943,PLA2G3
944,KCNB1
945,ANKRD27
946,BMP4
947,NOVA1
948,DMGDH
949,PARVG
950,WWOX
951,ARHGEF19
952,DDX60
953,NPHP1
954,LEF1
955,FKBP7
956,GPRC5C
957,CPNE9
958,VSIG10L
959,IGSF3
960,EDC3
961,UBE2O
962,ZBTB40
963,PTPN14
964,PLA2R1
965,GOLGA2
966,KIAA1217
967,STK32A
968,CAPG
969,NFKB1
970,AAAS
971,SSH3
972,SMYD1
973,NTRK3
974,GUCY2D
975,ZDHHC5
976,UFL1
977,TMEM184B
978,NEB
979,CD74
980,SLC5A7
981,MED12
982,FAM216A
983,TLR7
984,ITGB7
985,BOLA3
986,WIPI1
987,SUPV3L1
988,VSIG8
989,OSBP2
990,KLHL1
991,OLIG2
992,TNFRSF13C
993,HSPA2
994,CPSF3
995,CYBB
996,CHRD
997,FEZF1
998,SLC20A1
999,DAND5
1000,RANBP9
1001,RSPRY1
1002,SLC26A11
1003,PLCB1
1004,INIP
1005,MTRF1
1006,ZNF362
1007,DCAF8
1008,MNS1
1009,MCM8
1010,MAFB
1011,STX6
1012,TMEM184C
1013,C1orf226
1014,SV2B
1015,CRELD1
1016,ANO3
1017,SUN1
1018,VAV2
1019,NHSL1
1020,TRIM7
1021,XBP1
1022,ST3GAL5
1023,SUGP2
1024,NCAM1
1025,MPPED1
1026,SPECC1L
1027,ERBB3
1028,LOXL3
1029,HSF1
1030,AXL
1031,BARD1
1032,FOSL2
1033,NR3C1
1034,NCKAP1L
1035,SULF2
1036,PCYT1B
1037,RAMP3
1038,GDPD1
1039,HNMT
1040,CHST14
1041,DISP1
1042,ITSN1
1043,PARD3
1044,VILL
1045,NINL
1046,KEAP1
1047,SLC7A5
1048,CHGA
1049,DNAH2
1050,PGS1
1051,LYPLA1
1052,SUGP1
1053,GRM3
1054,CD68
1055,GRIN2A
1056,RASGRP4
1057,COL4A1
1058,WASF3
1059,RFESD
1060,COMMD1
1061,NPC2
1062,GGA1
1063,SHB
1064,LAG3
1065,TNPO2
1066,PPL
1067,PSD4
1068,AVPI1
1069,STEAP3
1070,SPRED1
1071,LAMB3
1072,WDR90
1073,NMB
1074,GALNT9
1075,CNOT8
1076,ITGA11
1077,TADA2A
1078,LRRC45
1079,FBXO40
1080,WDFY1
1081,PREPL
1082,TGFB2
1083,FZD7
1084,GMNC
1085,CYBA
1086,MCTP1
1087,F2RL2
1088,TADA1
1089,PKIG
1090,SLC4A8
1091,RNASEH2A
1092,HSPA12A
1093,PGP
1094,DBH
1095,KCMF1
1096,TIPRL
1097,TSEN2
1098,LTK
1099,RAPGEF5
1100,GLRX2
1101,TPRA1
1102,HAPLN3
1103,ANKRD44
1104,CDS1
1105,MBOAT7
1106,TCEANC2
1107,DENND3
1108,KIF5C
1109,ESPNL
1110,RNF115
1111,ATP1B1
1112,MCM3AP
1113,KLHL13
1114,SULF1
1115,SLC38A9
1116,GAS8
1117,VPS13D
1118,SETDB1
1119,PTPN4
1120,FASTKD2
1121,DOCK11
1122,C2CD4C
1123,SNX10
1124,HIF3A
1125,SUCO
1126,KANK1
1127,TNFAIP8L2
1128,SYT3
1129,MCC
1130,IGFN1
1131,TTC22
1132,ZSWIM4
1133,SVOP
1134,AKAP8
1135,ATG4B
1136,DYRK3
1137,VLDLR
1138,RTN2
1139,PPP2R1B
1140,MTFMT
1141,EEF2K
1142,HSPB8
1143,RRP1B
1144,KDELR3
1145,REEP2
1146,C2CD4D
1147,ATAD3A
1148,SLC39A10
1149,SLITRK3
1150,ATP13A2
1151,KIF19
1152,FOXQ1
1153,MPV17
1154,BIN1
1155,B2M
1156,GSPT2
1157,STXBP1
1158,NOC2L
1159,DENND5B
1160,EPM2A
1161,MYO10
1162,GDPD2
1163,STK35
1164,WDR81
1165,HDAC4
1166,SLC43A3
1167,ONECUT2
1168,GBE1
1169,FGF1
1170,EPHA6
1171,MFNG
1172,CNIH1
1173,KIF26B
1174,IGF1
1175,NOS2
1176,BAIAP3
1177,PRDM1
1178,ALDH1A3
1179,TEX30
1180,ATL2
1181,LDLR
1182,PCF11
1183,EGLN3
1184,ZNF598
1185,GPR4
1186,CIAPIN1
1187,FNDC4
1188,GSK3A
1189,PLXNA4
1190,MAPK11
1191,OSTM1
1192,STX18
1193,IRF3
1194,SH3GLB1
1195,OPCML
1196,USP24
1197,ATP4A
1198,ZNF385B
1199,THSD7B
1200,CABP7
1201,SH3BP1
1202,TTC39C
1203,PRRT3
1204,OCEL1
1205,INSIG2
1206,CYP20A1
1207,AP5Z1
1208,PROSER2
1209,ARHGAP39
1210,DAXX
1211,CAD
1212,URGCP
1213,KIAA0556
1214,RAB38
1215,PIK3CA
1216,CPSF6
1217,PDK4
1218,PSPC1
1219,SFXN1
1220,CYP39A1
1221,STAT6
1222,DONSON
1223,NEK3
1224,MROH1
1225,MYLK
1226,SUSD5
1227,VPS37C
1228,TRIM27
1229,CRYGN
1230,TLE1
1231,TMF1
1232,DNAJA4
1233,COG5
1234,MGAT5B
1235,ALDH1A1
1236,CNTN2
1237,EIF5A2
1238,BCKDHB
1239,CRLF2
1240,DDAH2
1241,COL26A1
1242,EFS
1243,SLC35F2
1244,TMEM109
1245,PTH1R
1246,SLC6A6
1247,TSPAN2
1248,SPAG5
1249,CD36
1250,MCMBP
1251,NOS1
1252,TMEM132B
1253,TCEANC
1254,GDF10
1255,C11orf68
1256,MDM4
1257,TOMM20L
1258,DET1
1259,PACRG
1260,GABRD
1261,CNR1
1262,TAF12
1263,ANO4
1264,ANTXR2
1265,MLIP
1266,JAKMIP3
1267,WIPF1
1268,UBQLN2
1269,IRS1
1270,UVRAG
1271,LASP1
1272,NRP1
1273,TRIL
1274,ATP2A3
1275,SLA
1276,VSTM2B
1277,TPPP3
1278,NADK2
1279,SLC7A4
1280,ANAPC7
1281,TMEM30A
1282,POGLUT1
1283,TXLNB
1284,GNB5
1285,GABBR2
1286,FMN2
1287,ATXN2L
1288,RND1
1289,SDF4
1290,LARP6
1291,NOL3
1292,LACC1
1293,MOXD1
1294,PDE7A
1295,MAP2K3
1296,SIRT4
1297,CCBE1
1298,PLCL2
1299,SYNPO2
1300,GRIK4
1301,MICB
1302,LRRC8B
1303,ATG5
1304,LGI3
1305,MYLK3
1306,CD151
1307,ZNF608
1308,LDLRAD3
1309,SYNPR
1310,CCDC78
1311,KCNF1
1312,FGF17
1313,RASA2
1314,CNNM4
1315,SLC29A4
1316,HPCAL4
1317,MAD1L1
1318,RSL1D1
1319,TRAPPC12
1320,CPLX1
1321,SESN2
1322,DPYSL5
1323,C8orf34
1324,CYTH4
1325,CYP4F8
1326,UBAC1
1327,PGR
1328,CPT1A
1329,ACOT12
1330,RASSF6
1331,MRRF
1332,ITPRIPL1
1333,ITGAM
1334,MEX3A
1335,PLIN3
1336,CHST6
1337,NTNG1
1338,TRAM2
1339,RORA
1340,OCIAD2
1341,EFNA1
1342,SFTPC
1343,IGSF6
1344,LAYN
1345,FARS2
1346,CHST15
1347,SLC35C1
1348,OLFM1
1349,SPAG4
1350,SLC30A10
1351,CISD2
1352,EHD1
1353,TRIM26
1354,EXOC4
1355,DPP8
1356,ZNF148
1357,APLN
1358,RNF157
1359,IL1RAPL2
1360,GPR26
1361,STXBP6
1362,KMO
1363,POMC
1364,SLC35G1
1365,OSBPL3
1366,NDUFA10
1367,ZNF408
1368,PPP1R18
1369,RPL15
1370,SLC19A2
1371,TP53BP2
1372,SLC27A2
1373,SEL1L
1374,CUL7
1375,COQ2
1376,PRKCG
1377,ZNF217
1378,TCF25
1379,SPC25
1380,YPEL4
1381,ZNF831
1382,CNST
1383,EDIL3
1384,EIF2S3
1385,VIPR1
1386,TMEM229A
1387,N4BP2
1388,ETS2
1389,CD53
1390,SEC63
1391,SYTL4
1392,CAPSL
1393,MARK2
1394,ARX
1395,DLX2
1396,IST1
1397,CNOT6L
1398,FERMT2
1399,ACSF3
1400,ZNF354C
1401,ANKH
1402,ELP6
1403,STAT3
1404,LRRC3B
1405,TMEM69
1406,CYB5R2
1407,ITM2A
1408,ZBTB21
1409,NT5DC1
1410,FBN1
1411,PTCHD1
1412,GABRB2
1413,CCDC125
1414,ZNF346
1415,CCNT1
1416,HMGB2
1417,ARSG
1418,HAUS8
1419,FZD2
1420,BSG
1421,F2R
1422,WNT2
1423,DENND2C
1424,C1R
1425,TNFAIP8L3
1426,ASB2
1427,ARRDC3
1428,YPEL1
1429,TAZ
1430,PECR
1431,CD109
1432,MCTS1
1433,NUAK2
1434,IFT57
1435,KLHL24
1436,EFNA5
1437,CLEC14A
1438,P2RX6
1439,SLC25A32
1440,ACTR1B
1441,RASSF5
1442,FAM81A
1443,LIFR
1444,DERL1
1445,CARS2
1446,PFKFB2
1447,TBXAS1
1448,C2CD5
1449,PCGF6
1450,DSEL
1451,MAT2B
1452,CPXM2
1453,NLGN3
1454,SUCLG2
1455,DHRS3
1456,ZNF385A
1457,RP9
1458,ESAM
1459,WSB2
1460,TRAF3IP3
1461,KCNC2
1462,RBM47
1463,HES7
1464,SLC7A7
1465,SLC27A4
1466,UBE3B
1467,HDC
1468,EGFL7
1469,GAB2
1470,CA2
1471,GABRQ
1472,DIRAS1
1473,KCNAB3
1474,SLC7A1
1475,TMBIM1
1476,CACNG2
1477,KLF12
1478,CD6
1479,DLEC1
1480,GLCCI1
1481,HSD17B13
1482,CDR2L
1483,SOS1
1484,S100B
1485,RHOV
1486,SP5
1487,BBS1
1488,DLG2
1489,INTS3
1490,RPS6KA2
1491,PLXDC2
1492,KCNIP3
1493,FRMD3
1494,PIK3CD
1495,SBNO2
1496,PKN1
1497,JAKMIP2
1498,ENTPD7
1499,TAGLN2
1500,UNC5C
1501,IFITM3
1502,OBSCN
1503,SEPHS2
1504,SV2C
1505,HSF2BP
1506,FILIP1
1507,MKRN2
1508,SLC17A6
1509,CTPS2
1510,TMEM183A
1511,CBX7
1512,IKZF2
1513,C1QTNF6
1514,SYNDIG1
1515,RMDN2
1516,PRMT3
1517,SLC16A6
1518,LRRC23
1519,SLCO1A2
1520,APBB1IP
1521,ELF4
1522,RWDD3
1523,RILPL1
1524,MSN
1525,STXBP5L
1526,JMJD7
1527,UST
1528,ABTB1
1529,CHD9
1530,TLR2
1531,EZR
1532,ZHX2
1533,GNA12
1534,EML2
1535,HIBCH
1536,FLCN
1537,SFI1
1538,ETHE1
1539,SHF
1540,WSCD1
1541,DNAJC21
1542,SYTL2
1543,SLC1A2
1544,EML3
1545,LRRC38
1546,TRIM24
1547,CLDN23
1548,MTBP
1549,FAM126A
1550,TRMT61A
1551,RHBDL3
1552,NMNAT2
1553,PPTC7
1554,CKMT1B
1555,RIN1
1556,RIMKLA
1557,DNAH6
1558,ACYP2
1559,RCOR2
1560,TRHDE
1561,TRAK2
1562,COMMD4
1563,LIMK1
1564,JRK
1565,MYRF
1566,C1orf174
1567,ST6GALNAC5
1568,DIRAS2
1569,PPP1R13L
1570,SORCS1
1571,PPCDC
1572,RNASE6
1573,KCTD5
1574,CYP2J2
1575,CRISPLD1
1576,SPARC
1577,PTPRC
1578,PINX1
1579,CCDC43
1580,SRPX2
1581,LHPP
1582,FCHO2
1583,EPHB3
1584,TTLL12
1585,RHEBL1
1586,HHEX
1587,ASAP3
1588,NF1
1589,SLC30A4
1590,BTBD2
1591,DOCK8
1592,MAP2K5
1593,VAV3
1594,EPHA10
1595,BMP3
1596,FGF12
1597,ABCC3
1598,PPP4R4
1599,PPP1R14B
1600,NSUN7
1601,AHNAK
1602,TJP2
1603,PRSS16
1604,METTL22
