,genes
719,TMEM38B
720,OGT
721,ITGA2B
722,AP3D1
723,PELI2
724,ZGPAT
725,BRINP2
726,HSPB2
727,FREM3
728,PRADC1
729,GUSB
730,USP36
731,PIN1
732,YIPF1
733,VWA3A
734,THBS3
735,ZNF395
736,ABCC8
737,SPEF2
738,RORB
739,CNTN4
740,GLRB
741,SOCS7
742,DUSP28
743,NRBF2
744,CCND2
745,ST8SIA3
746,TTL
747,NDUFAF5
748,NABP2
749,OVOL2
750,SOX11
751,RPH3A
752,UBA2
753,APOD
754,CPNE4
755,ELOVL6
756,CCDC177
757,DNAH8
758,TRIM3
759,ZNF329
760,TNNT1
761,ZNF513
762,PARP2
763,GSTM5
764,EFNB2
765,ITFG1
766,PRICKLE1
767,CHRM1
768,ATP8B1
769,HOOK2
770,DYRK2
771,EIF1B
772,KLF7
773,CDC37
774,ARPP19
775,GPD2
776,RNF41
777,ORMDL2
778,CD55
779,NR2F2
780,FAM168B
781,ZNF804B
782,SAP30L
783,RASD1
784,GRIA3
785,SORL1
786,DNM1L
787,IQSEC2
788,KLF5
789,LMLN
790,NUMBL
791,ATG9A
792,SIRT7
793,TEKT2
794,CROCC
795,KRT18
796,SSRP1
797,SPDEF
798,ZNF462
799,CCDC58
800,LRRN2
801,TRMT12
802,FAM227B
803,MYC
804,TECR
805,NEUROD6
806,ATP2B3
807,BBC3
808,SYT1
809,ERGIC2
810,PLCG2
811,MED6
812,CHADL
813,DLGAP2
814,ABCA6
815,PCDHB14
816,POLH
817,KANSL3
818,HMCN1
819,OSBPL8
820,KHK
821,PPP2R5E
822,MPZL3
823,TSLP
824,CAMK1D
825,DCAF5
826,AAMP
827,GREB1
828,FNBP4
829,OTX1
830,TRPM6
831,BRINP1
832,CENPF
833,TRHR
834,CPT1C
835,UBE2K
836,SFR1
837,NOP16
838,MTMR12
839,CSRP2
840,HIBADH
841,STX8
842,CNEP1R1
843,RAB11FIP5
844,MRPS36
845,WIPF2
846,DNMT1
847,AIF1
848,ACOT8
849,PARP14
850,ARHGAP1
851,CHAF1B
852,TFR2
853,TONSL
854,DRAXIN
855,CNKSR3
856,SLC9A1
857,FGF18
858,EPG5
859,SLC2A6
860,FZD6
861,PARVA
862,FGF13
863,IQSEC1
864,CCDC15
865,ACSL6
866,ATP9B
867,MSC
868,ERCC1
869,TDRD5
870,GPR22
871,CENPN
872,GAS2L3
873,GPI
874,NUP153
875,ZDHHC7
876,MGP
877,HTR5A
878,ANKRD34C
879,SLC6A20
880,MED27
881,FOXRED2
882,PIK3CG
883,TCEA2
884,DZIP3
885,TUB
886,TP53BP1
887,C1QB
888,CSMD3
889,CASQ1
890,XKR4
891,TMEM25
892,SARS2
893,HOOK1
894,SH2B1
895,CSMD2
896,SLC35D3
897,LNX1
898,GPCPD1
899,L1CAM
900,CLEC1A
901,CDHR3
902,SHOX2
903,SLC16A14
904,ZDHHC21
905,GPR137
906,B4GALT3
907,RAP2A
908,DLX6
909,NKAIN3
910,CRHR2
911,ST8SIA1
912,ZNF689
913,FAS
914,ANKZF1
915,CKB
916,GPAM
917,KCNK13
918,PTPRS
919,CYTH2
920,NT5M
921,SLITRK6
922,ZNF382
923,SH2B3
924,CRH
925,PRKAR2B
926,NFE2L3
927,RACGAP1
928,TMEM209
929,ARID5B
930,CCKBR
931,CCK
932,RNF40
933,MYL12A
934,KCNA2
935,GJD2
936,ZNF697
937,TFRC
938,C10orf90
939,PNO1
940,CACUL1
941,CGREF1
942,YAP1
943,KIF9
944,HRH2
945,MRPS2
946,SLC25A44
947,TOP3A
948,LZTS1
949,OLFML3
950,DGKH
951,KIF4A
952,CYS1
953,C10orf105
954,ZNF563
955,SCAP
956,BEGAIN
957,NXPH3
958,FBXL2
959,NFATC2
960,STARD4
961,TMEM47
962,STIM1
963,DGKG
964,C1QL1
965,MOSPD3
966,ANKRD13C
967,CECR2
968,RNF111
969,DAPK3
970,ADAM9
971,RNASE1
972,SYNPO
973,DOK7
974,TM2D3
975,APCDD1
976,KCNS3
977,NAF1
978,NTRK2
979,IRX3
980,BACE2
981,ASS1
982,CYP26B1
983,CCDC3
984,CSGALNACT1
985,SYN2
986,RHCG
987,RTN4IP1
988,LRPPRC
989,BBS7
990,TMEM68
991,HTR2C
992,TCF12
993,METTL9
994,LRFN5
995,SST
996,S100PBP
997,THAP3
998,USP22
999,C1QL3
1000,ZNF335
1001,RTN4R
1002,PPARGC1A
1003,LYSMD4
1004,EPHX4
1005,TNS1
1006,LCP1
1007,MAN2C1
1008,FHDC1
1009,SPON1
1010,CBX6
1011,GPD1L
1012,SEMA3C
1013,ZDHHC4
1014,LGR4
1015,ACAT1
1016,SLCO4A1
1017,RPRM
1018,SGPP2
1019,GABRA2
1020,TRAF4
1021,NAP1L3
1022,SGSM2
1023,PPP3CC
1024,SIRPA
1025,GCC2
1026,GMCL1
1027,TTC13
1028,GRIK2
1029,GZF1
1030,EIF1AD
1031,MPP5
1032,CHD5
1033,DUSP2
1034,ZBTB22
1035,MVP
1036,HK2
1037,CTNNAL1
1038,ID2
1039,PTAR1
1040,CUL1
1041,CNTNAP2
1042,ADAMTS13
1043,SKAP2
1044,E2F6
1045,ZNF334
1046,DAPK1
1047,BTBD17
1048,OTX2
1049,RTTN
1050,ALAS1
1051,TNRC6B
1052,SENP2
1053,P2RY6
1054,JPH4
1055,STAMBPL1
1056,SEC16A
1057,HMOX2
1058,LRP1B
1059,PCSK5
1060,SEZ6L2
1061,TUBGCP2
1062,DAAM1
1063,RBMX2
1064,PIAS4
1065,CPNE7
1066,SIN3A
1067,RBP4
1068,PKD2L1
1069,EFNA2
1070,BSN
1071,TEX10
1072,ANXA7
1073,NARF
1074,RNF208
1075,CTSA
1076,CC2D1A
1077,SYT6
1078,PPP1R3B
1079,CAND2
1080,COL22A1
1081,KLC4
1082,TTLL4
1083,PITPNA
1084,RAP1GAP
1085,TAF1D
1086,TYW5
1087,ASH1L
1088,FNDC5
1089,IRF2
1090,CD164
1091,GABARAPL1
1092,IDNK
1093,CDH23
1094,CLPX
1095,CBFB
1096,STC2
1097,IKBKE
1098,PIP5K1B
1099,ZNF398
1100,C21orf91
1101,PAPSS2
1102,TNKS1BP1
1103,TNNI3
1104,SEC14L1
1105,BDH1
1106,CCNI
1107,TTI1
1108,MAP2
1109,SMAP1
1110,LRCH2
1111,NME5
1112,FOSB
1113,GALNT10
1114,RALBP1
1115,IGBP1
1116,PLXNB3
1117,BTBD9
1118,IPO5
1119,ABHD10
1120,FZR1
1121,ZNF282
1122,TGFA
1123,TSPAN18
1124,TRAF7
1125,ARRDC1
1126,CELF3
1127,CAMK2G
1128,LZTFL1
1129,NFIA
1130,ADCK2
1131,CREBBP
1132,MREG
1133,LMF1
1134,PDE6H
1135,SNAP91
1136,AGBL4
1137,THEM6
1138,PLA2G3
1139,KCNB1
1140,RBBP7
1141,AAMDC
1142,BMP4
1143,NOVA1
1144,WWOX
1145,DDX60
1146,LEFTY1
1147,NPHP1
1148,TAS1R3
1149,LEF1
1150,CPNE9
1151,IGSF3
1152,EDC3
1153,UBE2O
1154,HTR1D
1155,PTPN14
1156,SNX32
1157,ZNF184
1158,HMGXB4
1159,PLA2R1
1160,FH
1161,GOLGA2
1162,KIAA1217
1163,NFKB1
1164,B9D2
1165,SLC17A7
1166,CNN1
1167,SMYD1
1168,NTRK3
1169,KCNA5
1170,GUCY2D
1171,TRIM11
1172,TMEM184B
1173,MRPS23
1174,APLF
1175,LMO1
1176,NEB
1177,PPP1R11
1178,CACNA1E
1179,GTF2H1
1180,MED12
1181,FAM216A
1182,SUPV3L1
1183,ADAR
1184,VSIG8
1185,OSBP2
1186,LGALS3
1187,CCDC124
1188,STK25
1189,SCN2A
1190,HSPA2
1191,GMPPB
1192,CHRD
1193,FEZF1
1194,STK38L
1195,SLC20A1
1196,GYS1
1197,RANBP9
1198,CYCS
1199,PLCB1
1200,ZNF362
1201,DCAF8
1202,MNS1
1203,OLFML1
1204,TMEM37
1205,LRP12
1206,JPH3
1207,ING4
1208,MAFB
1209,STX6
1210,PRRC2B
1211,C1orf226
1212,VWC2
1213,FBXO45
1214,SLC25A26
1215,SV2B
1216,CRELD1
1217,ANO3
1218,SUN1
1219,NHSL1
1220,TRIM7
1221,NEIL1
1222,PSMG1
1223,SUGP2
1224,PPP1R26
1225,MPPED1
1226,SPECC1L
1227,ERBB3
1228,HSF1
1229,BARD1
1230,FOSL2
1231,NR3C1
1232,CSRNP2
1233,SULF2
1234,PCYT1B
1235,RAMP3
1236,GDPD1
1237,CHST14
1238,STK11IP
1239,THTPA
1240,CSPG5
1241,ITSN1
1242,PARD3
1243,UBXN11
1244,VILL
1245,CAPN10
1246,CHGA
1247,CNTN1
1248,DNAH2
1249,PGS1
1250,WNK1
1251,COLQ
1252,SUGP1
1253,KCTD11
1254,DPP10
1255,ABI1
1256,UGGT2
1257,PANK2
1258,PPP3CB
1259,MAPK8
1260,GRIN2A
1261,RASGRP4
1262,WASF3
1263,COMMD1
1264,DAB2IP
1265,TRUB1
1266,PPP1R14A
1267,NPC2
1268,GGA1
1269,SHB
1270,MYH7
1271,LAG3
1272,TNPO2
1273,PPL
1274,MYCL
1275,PSD4
1276,AVPI1
1277,SYT7
1278,CD47
1279,SPRED1
1280,LAMB3
1281,WDR90
1282,CASP6
1283,GALNT9
1284,ATG16L2
1285,CNOT8
1286,ITGA11
1287,TADA2A
1288,LRRC45
1289,FBXO40
1290,PREPL
1291,FZD7
1292,LGALSL
1293,AGRN
1294,MCTP1
1295,PKIG
1296,APBB2
1297,TBRG1
1298,SLC4A8
1299,HSPA12A
1300,SLC37A1
1301,FBXL15
1302,PGP
1303,BTBD10
1304,BCKDHA
1305,CDH9
1306,KAT2A
1307,DBH
1308,RAB24
1309,TIPRL
1310,TSEN2
1311,LTK
1312,RAPGEF5
1313,GLRX2
1314,KMT2C
1315,ANLN
1316,TPRA1
1317,HAPLN3
1318,ZNF541
1319,ATF3
1320,CDS1
1321,MBOAT7
1322,TMEM120B
1323,DENND3
1324,KIF5C
1325,DNAAF1
1326,STAM
1327,RNF115
1328,ATP1B1
1329,CPD
1330,PCDH11X
1331,GNPTAB
1332,KLHL13
1333,KLHDC8B
1334,SULF1
1335,FNBP1
1336,GAS8
1337,VPS13D
1338,PI4KB
1339,SETDB1
1340,PTPN4
1341,USP19
1342,C2CD4C
1343,SPOCK3
1344,SNX10
1345,PTK2
1346,KANK1
1347,FUOM
1348,TNFAIP8L2
1349,SYT3
1350,TTC22
1351,KLK10
1352,ZWILCH
1353,RPS6KL1
1354,SVOP
1355,MLLT11
1356,AKAP8
1357,ATG4B
1358,DYRK3
1359,RTN2
1360,RBM11
1361,FAM171B
1362,MTFMT
1363,EEF2K
1364,PISD
1365,CCNE2
1366,TAPT1
1367,NGDN
1368,COQ6
1369,KDELR3
1370,REEP2
1371,PBX1
1372,ATAD3A
1373,SLC39A10
1374,SLITRK3
1375,ATP13A2
1376,USP11
1377,B4GALT2
1378,MPV17
1379,DGKA
1380,B2M
1381,ISG15
1382,NIT2
1383,LDLRAP1
1384,STXBP1
1385,WNT3
1386,MYCBP2
1387,DENND5B
1388,ARID3A
1389,GDPD2
1390,STK35
1391,HDAC4
1392,MADD
1393,TRIB3
1394,GPSM1
1395,ONECUT2
1396,GBE1
1397,EPHA6
1398,CNIH1
1399,ACACA
1400,DDX56
1401,ETF1
1402,ARL4C
1403,IGF1
1404,NOS2
1405,BAIAP3
1406,PRDM1
1407,DLX1
1408,ALDH1A3
1409,TEX30
1410,ATL2
1411,LDLR
1412,PCF11
1413,COX18
1414,EGLN3
1415,USP30
1416,CAMK1G
1417,ZNF598
1418,GPR4
1419,CIAPIN1
1420,FNDC4
1421,GSK3A
1422,PLXNA4
1423,MAPK11
1424,IRF3
1425,OPCML
1426,AHSA1
1427,GABRB3
1428,USP24
1429,ATP4A
1430,ZNF385B
1431,CCDC6
1432,FOXJ1
1433,FBXL18
1434,BRICD5
1435,SH3BP1
1436,SAP130
1437,TTC39C
1438,PRRT3
1439,MAPT
1440,OCEL1
1441,TANGO6
1442,PDIA6
1443,RAP1GAP2
1444,GAS7
1445,CLIP1
1446,SLC35A1
1447,CAMK4
1448,GRIK3
1449,AP5Z1
1450,RNF4
1451,SLAIN1
1452,PROSER2
1453,ARHGAP39
1454,CAD
1455,URGCP
1456,CPSF6
1457,TBC1D23
1458,PDK4
1459,CDKN2AIPNL
1460,CENPT
1461,SFXN1
1462,CLCN5
1463,CYP39A1
1464,STAT6
1465,DONSON
1466,RNF31
1467,NEK3
1468,CELF4
1469,MROH1
1470,SUSD5
1471,VPS37C
1472,TRIM27
1473,CRYGN
1474,TLE1
1475,COG5
1476,ZSWIM6
1477,CCDC122
1478,QDPR
1479,POLE
1480,BOP1
1481,MGAT5B
1482,GRIK5
1483,COX17
1484,EIF5A2
1485,TCP1
1486,DDAH2
1487,COL26A1
1488,ARHGEF28
1489,EFS
1490,TMEM109
1491,KIF7
1492,TSPAN2
1493,SPAG5
1494,CD36
1495,GDNF
1496,ATL1
1497,TMEM132B
1498,GDF10
1499,C11orf68
1500,NASP
1501,ZNF239
1502,DET1
1503,PACRG
1504,GABRD
1505,CNR1
1506,ANO4
1507,SPEG
1508,MLIP
1509,WIPF1
1510,RSPH1
1511,ST3GAL2
1512,IRS1
1513,DRC1
1514,TBC1D14
1515,LASP1
1516,AP4B1
1517,MED10
1518,FAM222A
1519,RPS6KA3
1520,ATP2A3
1521,GPSM2
1522,C1QL2
1523,ST8SIA6
1524,SLA
1525,PNOC
1526,MDGA2
1527,TPPP3
1528,NADK2
1529,SLC7A4
1530,ANAPC7
1531,THYN1
1532,TTF2
1533,TXLNB
1534,GNB5
1535,ARL16
1536,GABBR2
1537,TANC2
1538,MARK1
1539,MAGOH
1540,ASB7
1541,FMN2
1542,ATXN2L
1543,RND1
1544,SDF4
1545,PCDH1
1546,PPAT
1547,RELL1
1548,LACC1
1549,MOXD1
1550,CABYR
1551,PTX3
1552,EVL
1553,ELL2
1554,SIRT4
1555,CLSPN
1556,CCBE1
1557,PLCL2
1558,SYNPO2
1559,GRIK4
1560,SLITRK1
1561,LRRC8B
1562,ATG5
1563,HPN
1564,PTPRK
1565,TTBK1
1566,LGI3
1567,CASKIN1
1568,ABCA8
1569,ROBO3
1570,ZNF608
1571,GSKIP
1572,PATL1
1573,LDLRAD3
1574,SYNPR
1575,CCDC78
1576,IKZF5
1577,KCNF1
1578,FGF17
1579,RASA2
1580,CNNM4
1581,ARHGEF5
1582,DDX42
1583,ZNF436
1584,DLK2
1585,HPCAL4
1586,MAD1L1
1587,RSL1D1
1588,TRAPPC12
1589,ANKIB1
1590,CPLX1
1591,SESN2
1592,C8orf34
1593,UBAC1
1594,PPM1A
1595,VPS26B
1596,ACOT12
1597,SH3GL1
1598,AJAP1
1599,ATAD5
1600,CCL28
1601,ITPRIPL1
1602,GRM5
1603,PLIN3
1604,CHST6
1605,NTNG1
1606,TRAM2
1607,RORA
1608,ESRP1
1609,MTHFR
1610,EFNA1
1611,LAYN
1612,DMAP1
1613,VPS33B
1614,FARS2
1615,CHST15
1616,SLC35C1
1617,OLFM1
1618,GRAMD4
1619,EDEM1
1620,TRIM26
1621,RAB40B
1622,SRSF7
1623,FOXG1
1624,FAM151B
1625,DPP8
1626,ZNF148
1627,OSBPL9
1628,APLN
1629,RNF157
1630,TMED3
1631,IL1RAPL2
1632,GPR26
1633,HECTD3
1634,PPM1K
1635,KMO
1636,SLC35G1
1637,SPTSSA
1638,OSBPL3
1639,NDUFA10
1640,MAP3K12
