,Phenotype1,Phenotype2,Phenotype3
A4t,0.587785062946608,0.21931554566659728,0.40550867434473686
A4tl,0.42698411564381883,0.3262878960793482,0.48475588005393316
A6cvl,0.571342480148053,0.4306802332754434,0.5403697508281654
A1/2/3ll,0.698570880198173,0.33539378335266173,0.3719714081290107
A4ll,0.7185357626876756,0.2719121590736191,0.30296021111997506
A1/2/3ulhf,0.49018531097827794,0.5191397127612497,0.5530392530425453
A1/2/3tonIa,0.46577867156176833,0.6870679585531652,0.5378434077593137
A2,0.49534286887040313,0.5646745385307094,0.5263632215489051
A1/2/3tru,0.6299528888068302,0.4980238800510828,0.4498232715031821
A7r,0.6156549270707552,0.5964807285717049,0.4432878834750547
A7c,0.635685526461246,0.7071272574905154,0.5900581326578629
A5l,0.5643745842590798,0.7453666022103834,0.5545232298213211
A7pc,0.6469002967883972,0.5817550372565493,0.4735644726074749
A7ip,0.5770317637689757,0.750867456172944,0.5024963760998469
A39c,0.5822624152430462,0.9332542222309934,0.7783910755698897
A39rd,0.4856745025154417,0.6907481537756852,0.7617145300305518
A40rd,0.47599926094230494,0.6005181853745206,0.6002183913325569
A40c,0.3951942220994918,0.6354615127304344,0.744497328882542
A39rv,0.5087628401610887,0.8993523730488963,0.854393223117115
A40rv,0.4379372310496887,0.6316933504858755,0.6111738610128055
A7m,0.7695869174007575,0.38963062512059576,0.39843756964267923
A5m,0.7710791858077942,0.20165618009400177,0.2735337821927958
dmPOS,0.8141048300018532,0.458832065592967,0.4664225717892086
A31,0.8603644114030244,0.27084741687288216,0.513021660315103
A23d,0.8939601085670388,0.2623529752303086,0.3087142470942253
A23c,0.9668992651704614,0.11758881810152416,0.2905062758610849
A23v,0.8488617710594475,0.2837457972674247,0.39634274186778345
cLinG,0.6563706644947837,0.590310755108517,0.5775009129501344
rCunG,0.6972866777920502,0.6199424731214277,0.5565201068418665
cCunG,0.6941451379997495,0.6138269541233038,0.4758532847063134
rLinG,0.5775982490092421,0.6770499472718016,0.5505776596684229
vmPOS,0.5912284596555325,0.5541824467553856,0.5231850166492413
mOccG,0.7264819580689313,0.7394790320974192,0.5627086355008594
V5/MT+,0.6492939524010746,0.8317172817445939,0.5895073591918507
OPC,0.6387570853722726,0.6121246875448916,0.567740748072907
iOccG,0.6335112837262656,0.7360094757750385,0.569395313078081
msOccG,0.7079596029686703,0.7457292403208138,0.43017677507962704
lsOccG,0.6931509649176153,0.7048655469013574,0.489443910022237
G,0.38128309394704474,0.4556054947690627,0.5432204168257325
vIa,0.4885893489273696,0.3236697966579308,0.9442334794878559
dIa,0.2807213786832806,0.0929425193777449,0.8930848003101579
vId/vIg,0.5006024598056652,0.5059579500539578,0.7229725742872304
dIg,0.2828556836336112,0.38844477393932736,0.5342428531608975
dId,0.33718367345683065,0.10444982534500263,0.6947814296321075
A38m,0.7742228654312245,0.6365276391827106,0.7090298881914154
A41/42,0.5078227871988361,0.8359444423009843,0.5798507959662175
TE1.0 and TE1.2,0.5730724812156943,0.8264906240240303,0.4176253292471522
A22c,0.5354846149601568,0.8767826203147261,0.6338616625952647
A38l,0.7581437695344196,0.6293104288826775,0.5597056244676398
A22r,0.6434569368587812,0.8373573571967363,0.5062234287842818
A21c,0.5972581522813063,0.6811420216969075,0.64264106519817
A21r,0.6894188652778159,0.7063966410528567,0.6091793822721697
A37dl,0.5362012556277818,0.8116427441158774,0.6601025189633734
aSTS,0.6260197358027211,0.7697612548167032,0.6773405170164103
A20iv,0.6837146961866969,0.619069963994285,0.6821491173067917
A37elv,0.6370786875224099,0.744590198970194,0.5370163483862288
A20r,0.6729626719558993,0.5920878802240819,0.6817788753998113
A20il,0.6262204666225408,0.6529080969458317,0.485857333928711
A37vl,0.594821735758133,0.7923312737166432,0.6499887430315595
A20cl,0.6116836533003872,0.6608248073535824,0.6048241876929148
