,genes
907,ERBB3
908,ROPN1
909,ANKRD44
910,ADAT1
911,PDIA5
912,TBC1D22B
913,NDUFB4
914,SPEN
915,MYLK
916,ZC3H15
917,MAP2K4
918,SNAP91
919,SLK
920,CYB5R4
921,COL17A1
922,GSTO2
923,SEC61A2
924,PRKCQ
925,TLE2
926,ASB1
927,FAM107B
928,ME1
929,TBC1D1
930,CDK13
931,MTHFD2
932,SLC9A7
933,FOXJ2
934,YBX1
935,PDE4A
936,PPP2R5A
937,CTNNA2
938,ELAVL1
939,TIE1
940,DIP2B
941,SMARCD1
942,KDM4A
943,NFYC
944,ZMYND12
945,SLC9A3
946,NGEF
947,ASPM
948,CD84
949,ELOVL1
950,SPI1
951,ZNRD1
952,MPPED2
953,CLDN18
954,ZBTB11
955,ATXN3
956,GOLGA5
957,FGFR2
958,LRRC40
959,ISOC1
960,EML1
961,TRMT11
962,THUMPD1
963,MSANTD3
964,KIF26A
965,ATG2B
966,ARFGEF1
967,ACSM2B
968,ZFAT
969,MTFR1
970,STAG3
971,FECH
972,MYO9A
973,DDX3Y
974,PFKP
975,IDI1
976,SP100
977,KLF6
978,PLPP1
979,NEO1
980,TRAM1
981,PHKA1
982,TNFRSF1A
983,CACNB1
984,EVI5
985,STOML1
986,PKM
987,DHX29
988,DNTTIP2
989,METTL22
990,TP53BP1
991,TRO
992,RRP15
993,RHOA
994,DHX8
995,PMS2P4
996,PRKCZ
997,ZFY
998,IARS2
999,SYT1
1000,NAV3
1001,IDH3G
1002,ROGDI
1003,PDZD4
1004,ATP2B3
1005,ROCK1
1006,CBFB
1007,PDK3
1008,HYAL2
1009,HDAC4
1010,RASSF1
1011,FGFR3
1012,IFI35
1013,HEATR6
1014,COASY
1015,PLEKHH3
1016,MEF2A
1017,OTUD5
1018,TFE3
1019,TBC1D25
1020,ACSL4
1021,INPP5A
1022,GPKOW
1023,GRIPAP1
1024,FTSJ1
1025,PRR11
1026,REEP1
1027,ATP11A
1028,POLR1A
1029,LAPTM4A
1030,TTC7A
1031,IP6K2
1032,SRBD1
1033,KIF2A
1034,RASGRP2
1035,PSME4
1036,SIRT2
1037,ERLEC1
1038,PPP2R5B
1039,PYGM
1040,PAGE1
1041,PITX1
1042,TRPC7
1043,MAST4
1044,ADGRF5
1045,SDK2
1046,ADAM7
1047,NUP133
1048,NUCKS1
1049,VPS35
1050,DNAJA2
1051,BCL3
1052,KCNAB2
1053,ABCC9
1054,GAL
1055,CLEC2D
1056,FUNDC1
1057,MAOB
1058,RORA
1059,DRD4
1060,TGFBR3
1061,PLA2G10
1062,HES2
1063,ATP1B3
1064,NEDD4
1065,PIGB
1066,MAPK6
1067,GNB5
1068,RAB27A
1069,HDHD5
1070,UFD1
1071,LRP6
1072,GUCY2C
1073,SCT
1074,PHRF1
1075,ELP1
1076,NUCB2
1077,PFN2
1078,PTPN3
1079,SPTB
1080,DAPP1
1081,FGF10
1082,SLC44A1
1083,TMEM260
1084,SMG6
1085,EXOC5
1086,CLTCL1
1087,FGF22
1088,FSTL3
1089,DGCR2
1090,RNF126
1091,MNT
1092,ZXDC
1093,JMJD6
1094,POLB
1095,ST6GALNAC1
1096,WIPI1
1097,FRMPD1
1098,GBA2
1099,NDST1
1100,AP3M2
1101,CNGB1
1102,ST6GALNAC2
1103,CHAT
1104,PABPC1
1105,TESK2
1106,CFAP20
1107,CSNK2A2
1108,PTPN21
1109,EIF2B3
1110,CAMK2A
1111,TCOF1
1112,CDC42
1113,OSBPL3
1114,EPHA8
1115,SLC12A3
1116,RAD18
1117,ATP2B1
1118,TRPM5
1119,NCK2
1120,MAP4K4
1121,MGAT4A
1122,RPL31
1123,WDR1
1124,SNX13
1125,MS4A12
1126,ARHGAP10
1127,RPS6KA2
1128,ING3
1129,VASH1
1130,LMCD1
1131,BUD23
1132,SEL1L
1133,TRIP13
1134,ATP6AP1
1135,TCF3
1136,TRIB2
1137,DAZAP1
1138,MBD3
1139,PRLH
1140,HLTF
1141,FAM50A
1142,FAM3A
1143,CPSF1
1144,MYO3B
1145,CYBRD1
1146,CDH19
1147,PDCD2
1148,SLC6A15
1149,RDH11
1150,PRKACA
1151,ADGRL1
1152,SPP2
1153,ACTN1
1154,ZFYVE26
1155,RPS6KA6
1156,EPN2
1157,PTPN18
1158,LIMS2
1159,ASIC4
1160,SPEG
1161,LNX1
1162,ALDH3A2
1163,TFRC
1164,SREBF1
1165,TRPC5
1166,AFF4
1167,UBE2D1
1168,MPP5
1169,RHOBTB1
1170,SMC1A
1171,HSD17B10
1172,MARK2
1173,HMMR
1174,CHFR
1175,TRHDE
1176,P4HA2
1177,FCGR2B
1178,NFATC3
1179,TRNT1
1180,ACADVL
1181,STK10
1182,FBXW11
1183,ACAP1
1184,CRMP1
1185,EVC
1186,DERL2
1187,SIDT1
1188,NDE1
1189,TMEM38A
1190,AP1M1
1191,PVR
1192,XRCC1
1193,SCARB1
1194,CYP2W1
1195,MCM2
1196,MOV10L1
1197,PANX2
1198,SELENOO
1199,TP63
1200,ALPK1
1201,LLGL2
1202,PDE8A
1203,CLCN4
1204,NLE1
1205,SDHA
1206,SMARCE1
1207,FNDC8
1208,GSDMB
1209,KDM5A
1210,ADAM11
1211,PPP2R3A
1212,FERMT2
1213,ABCB11
1214,DHRS9
1215,CD5L
1216,PTGS2
1217,IGF2BP2
1218,MAP3K13
1219,ST6GAL1
1220,TBX21
1221,FRY
1222,PICALM
1223,NSF
1224,GLI2
1225,CLASP1
1226,MRPS34
1227,NOTCH3
1228,CLNS1A
1229,PPP2R2C
1230,TEAD2
1231,EED
1232,CDHR2
1233,SNCB
1234,TSG101
1235,NCBP3
1236,ATP2A3
1237,CA12
1238,MGLL
1239,NTN4
1240,BCS1L
1241,NUAK1
1242,DPP8
1243,SLC24A1
1244,ZNF532
1245,SCARF1
1246,LMAN1
1247,HACD3
1248,IPCEF1
1249,ZZEF1
1250,NOX3
1251,ENO1
1252,SLC12A1
1253,MYDGF
1254,ANO8
1255,TUBE1
1256,ARHGEF10L
1257,TXK
1258,WSCD2
1259,KCNQ2
1260,TACR2
1261,ACTR6
1262,TIPIN
1263,SRI
1264,EIF4G3
1265,NUP37
1266,SEMA3A
1267,GTSE1
1268,SEMA3C
1269,TTC38
1270,ACAT1
1271,GRAMD4
1272,CELSR1
1273,WNT8B
1274,ZNF638
1275,SLC25A40
1276,TIMM21
1277,ADD2
1278,FGF4
1279,RASAL2
1280,VPS9D1
1281,ZNF37A
1282,MARK3
1283,SLC25A3
1284,FNDC3B
1285,FOSL2
1286,CACNG5
1287,CACNG4
1288,FRYL
1289,TMEM131
1290,FSCN1
1291,ACTB
1292,MOCOS
1293,PLD1
1294,ATP12A
1295,WDR62
1296,DLG1
1297,RAB7A
1298,BCAP29
1299,SEC31B
1300,SART3
1301,ARHGAP15
1302,TUBA3D
1303,PAX2
1304,EXOSC7
1305,KIFAP3
1306,MKRN2
1307,MCM6
1308,REXO2
1309,RBM7
1310,RBMS2
1311,BAZ2A
1312,PTPN23
1313,MLH1
1314,UNG
1315,FMO4
1316,KLHL20
1317,RGS11
1318,SLC46A1
1319,PLXNA2
1320,SPAG5
1321,ANKRD13A
1322,TPD52
1323,ACACB
1324,TRAF4
1325,PAG1
1326,GPATCH1
1327,ICAM3
1328,NT5C2
1329,MCAM
1330,GPC4
1331,MBNL3
1332,CAMSAP3
1333,RAP1GAP
1334,XAB2
1335,ARHGEF1
1336,STXBP2
1337,MAP2K7
1338,NMRK2
1339,DGKD
1340,CTTNBP2
1341,ACTL6B
1342,RARB
1343,TOP2B
1344,TM9SF3
1345,NFKB2
1346,UBE2T
1347,PPP1R12B
1348,DNAJC10
1349,GTF3C1
1350,IL4R
1351,USP33
1352,PAK3
1353,CAPN6
1354,DCX
1355,SNRPA
1356,SPAG6
1357,EXOSC5
1358,DYNC1I2
1359,APBB1IP
1360,LRCH4
1361,FAM76B
1362,SIRT6
1363,TYR
1364,POLD3
1365,ACTN2
1366,CAPZB
1367,GPR137B
1368,NAALAD2
1369,JADE1
1370,SLC25A43
1371,UBE2A
1372,FGFR1
1373,FKBP6
1374,SMC1B
1375,FBLN1
1376,ITGA8
1377,CST7
1378,MAP2
1379,PIAS2
1380,AMPH
1381,ARAF
1382,MCCC1
1383,LAMP3
1384,FAP
1385,NEBL
1386,ACER3
1387,UBE2K
1388,PIK3C3
1389,N4BP2
1390,TIGAR
1391,TULP3
1392,SYNJ2
1393,ADCY2
1394,PPP2R5C
1395,PMS2P1
1396,RBFOX1
1397,GNB1
1398,EDN1
1399,MLLT10
1400,ZCWPW1
1401,ADCYAP1R1
1402,FGF20
1403,P2RY10
1404,ITM2A
1405,NRDC
1406,VDAC3
1407,PCM1
1408,TNRC6C
1409,CBFA2T2
1410,BRINP1
1411,ITCH
1412,PKD2L2
1413,TP53INP2
1414,SDF4
1415,MYH7B
1416,BPIFB2
1417,TP73
1418,TOLLIP
1419,UBE2D4
1420,CLUL1
1421,RUNX1T1
1422,CDH17
1423,THOC1
1424,FKBP7
1425,OSBPL6
1426,SLC1A3
1427,XRCC5
1428,LXN
1429,SP140
1430,MKNK1
1431,TNS1
1432,REXO1
1433,SAR1A
1434,CDC14A
1435,RAPGEF3
1436,CEACAM1
1437,SENP1
1438,DUSP13
1439,CIC
1440,LIPE
1441,FDFT1
1442,PAFAH1B3
1443,OPHN1
1444,AFM
1445,KIF22
1446,SCGN
1447,CARMIL1
1448,PGM1
1449,DDX1
1450,DNM2
1451,EPB41L2
1452,RIMS1
1453,MOXD1
1454,STX7
1455,KEAP1
1456,DDX43
1457,PTPRH
1458,DCT
1459,SLC35C2
1460,CRYBG3
1461,EPHA6
1462,SCTR
1463,RFX3
1464,RIF1
1465,RAB21
1466,SLC4A4
1467,SMARCA2
1468,RDH8
1469,SESN1
1470,MID2
1471,COL5A3
1472,SRCAP
1473,PUM3
1474,CPB2
1475,CHRNA3
1476,KCNN2
1477,CNOT4
1478,PSEN1
1479,CPOX
1480,CLDND1
1481,MOK
1482,HSP90AA1
1483,RBL1
1484,DLGAP4
1485,IGSF9B
1486,CFHR2
1487,CROCCP3
1488,NDC80
1489,AP4E1
1490,RSBN1
1491,MAGI3
1492,CXCL2
1493,AFP
1494,COL4A4
1495,TCF7
1496,OSTM1
1497,CDH7
1498,IMPG2
1499,PCNP
1500,EXD2
1501,ARG2
1502,MEF2C
1503,PTPRC
1504,CACNA1S
1505,PKP1
1506,UBA5
1507,STK17B
1508,CDC14B
1509,ZNF510
1510,LRP2
1511,JMJD4
1512,DUSP12
1513,AACS
1514,SLC13A1
1515,CADPS2
1516,PCDHB4
