,genes
1022,DYNLL1
1023,PDCL
1024,TMEM184B
1025,Rsph14
1026,NF2
1027,CABP7
1028,ZMAT5
1029,Ewsr1
1030,AP1B1
1031,DERL3
1032,TBX1
1033,BCL2L13
1034,DQX1
1035,Lnpk1
1036,TMEM8C
1037,FAM163B
1038,ASCL2
1039,RARRES2
1040,PTTG1IP
1041,TRPM2
1042,UBE2G2
1043,LPO
1044,MET
1045,SLC16A12
1046,SYN2
1047,ELK1
1048,NAV1
1049,TNPO1
1050,RNMT
1051,KCNQ1
1052,SRP14
1053,X6330409D20Rik
1054,CDK9
1055,TOR2A
1056,FPGS
1057,MKL2
1058,CBX5
1059,APOBEC3B
1060,SARDH
1061,VAV2
1062,TEX15
1063,PPP2CB
1064,G0S2
1065,DMAP1
1066,MCU
1067,TEX11
1068,BCR
1069,FXYD5
1070,KCND1
1071,TFCP2
1072,Pou6f2
1073,POU6F1
1074,UBP1
1075,NUAK2
1076,ICK
1077,SDHB
1078,COX4I2
1079,SNAP47
1080,KDSR
1081,VPS4B
1082,RPS25
1083,TAZ
1084,KIF19
1085,ALDH3A2
1086,ZMYND10
1087,Tmem115
1088,HYAL2
1089,IFRD2
1090,HYAL1
1091,TUSC2
1092,NPRL2
1093,SLC38A3
1094,CACNA2D2
1095,EPN3
1096,RNF112
1097,SLC3A2
1098,NXF1
1099,STX5
1100,SLC47A1
1101,TNFRSF13B
1102,SPIRE2
1103,PROX1
1104,RAVER1
1105,X2610507B11Rik
1106,C2orf49
1107,TMEM86A
1108,OPTC
1109,TEX14
1110,IFI35
1111,RDM1
1112,NEDD8
1113,GOSR1
1114,MRPL52
1115,KANSL3
1116,EYA4
1117,MYT1
1118,FAF1
1119,Gm266
1120,TSACC
1121,METTL16
1122,DAZ2
1123,PIGY
1124,Rbm25
1125,PSEN2
1126,Acaa1b
1127,PLCD1
1128,FADS1
1129,LMBR1
1130,CARS
1131,WNT2
1132,GABRA1
1133,GRID2IP
1134,APIP
1135,PDHX
1136,VAC14
1137,AKT1S1
1138,TBRG1
1139,ADSSL1
1140,Cfap161
1141,BRF1
1142,ODC1
1143,THG1L
1144,ADAM19
1145,PABPC4
1146,ZNF296
1147,PLIN5
1148,SUGP1
1149,DHDH
1150,ZNF790
1151,FSD1
1152,FUZ
1153,SPTBN4
1154,PGAM1
1155,EVI5
1156,Evi5l
1157,SNAPC2
1158,GIT1
1159,GLTP
1160,BNIP2
1161,CCNT1
1162,SCARF2
1163,BRMS1L
1164,Med15
1165,DHDDS
