,genes
699,PHKG2
700,LIPC
701,ACER3
702,THTPA
703,GPLD1
704,SNTB2
705,COG5
706,GPR61
707,ZNF516
708,PPA2
709,SLC25A11
710,B4GALNT4
711,C1R
712,PLA2G4A
713,DHX35
714,AP5Z1
715,NEFL
716,NFAT5
717,FGF12
718,FBXO27
719,SMG5
720,IL11
721,KCNH7
722,SFI1
723,CRYZ
724,TMEM74
725,PCDH11X
726,USE1
727,NBAS
728,DLC1
729,CCDC6
730,ZNF575
731,ASTE1
732,VPS72
733,OLFML3
734,LACTB2
735,FAHD2B
736,HEBP2
737,FEZ1
738,SUN1
739,ZGPAT
740,MSS51
741,CCDC43
742,RNF4
743,VPS51
744,MYBL1
745,HMG20A
746,SYT2
747,B4GALT6
748,ZSCAN20
749,UBE2QL1
750,DSEL
751,ZWILCH
752,HACL1
753,SLC35E1
754,TMEM158
755,SLC9A9
756,PTPN14
757,TIMM23
758,NMI
759,PGM2
760,CAMK4
761,SPC25
762,KIAA0232
763,RFTN2
764,IL17RC
765,FMN1
766,MTCH1
767,ZNF488
768,CNKSR3
769,ARHGAP9
770,CAMK1D
771,TRIB3
772,FUT2
773,AMIGO1
774,CENPQ
775,DPF1
776,ASIC4
777,CDK18
778,ANKIB1
779,CYP2J2
780,ADRB1
781,KLHDC8B
782,RILP
783,KCNS3
784,RNF182
785,ENTPD6
786,CAMK2A
787,TET1
788,DNAH1
789,DVL1
790,CEBPD
791,PLEKHH3
792,MTX2
793,KANK4
794,BMP3
795,UNC5B
796,NOVA2
797,HDAC5
798,SLC45A4
799,BAIAP3
800,AACS
801,CDH12
802,TNK2
803,EIF3L
804,SLC9A1
805,DCAF15
806,TNPO3
807,ATAD5
808,INO80
809,BAP1
810,PGAP1
811,GRAMD1B
812,COL22A1
813,C1QTNF1
814,PLEKHG1
815,MCM9
816,AKT1
817,MAPKAPK2
818,ABHD17B
819,KLHDC9
820,CACNA1D
821,CAMKMT
822,PIK3R1
823,KCTD17
824,CDC37
825,HIVEP2
826,THRA
827,LRP12
828,CDC14A
829,STIL
830,LRP6
831,ZZZ3
832,UQCRC2
833,BOK
834,SYT16
835,PMM2
836,SYTL4
837,MAP10
838,FBXW5
839,DNLZ
840,ATP6V1C1
841,RPF2
842,PNOC
843,SYDE2
844,RPGR
845,RNF2
846,TH
847,TACSTD2
848,KLK10
849,SH3RF3
850,POLR1D
851,ST3GAL6
852,SPOCK3
853,MYSM1
854,SLC38A8
855,ARMCX3
856,PTPRN
857,FMR1
858,CHST15
859,BTG3
860,KLF5
861,RMND1
862,PIP4K2A
863,CHD5
864,NF2
865,HSPB2
866,FSTL5
