,genes
830,AP2B1
831,AP2M1
832,AP2S1
833,AP3B1
834,AP3B2
835,AP3D1
836,AP3M1
837,AP3M2
838,AP3S1
839,AP4B1
840,AP4E1
841,AP4M1
842,AP4S1
843,AP5B1
844,AP5M1
845,AP5S1
846,AP5Z1
847,APAF1
848,APBA1
849,APBA2
850,APBA3
851,APBB1
852,APBB1IP
853,APBB2
854,APBB3
855,APC
856,APC2
857,APCDD1
858,APCDD1L
859,APCS
860,APEH
861,APEX1
862,APEX2
863,APH1A
864,APH1B
865,API5
866,APIP
867,APLF
868,APLN
869,APLNR
870,APLP1
871,APLP2
872,APMAP
873,APOA1
874,APOA2
875,APOA4
876,APOA5
877,APOB
878,APOBEC1
879,APOBEC2
880,APOBEC3A
881,APOBEC3B
882,APOBEC3C
883,APOBEC3D
884,APOBEC3F
885,APOBEC3G
886,APOBEC3H
887,APOBEC4
888,APOBR
889,APOC1
890,APOC3
891,APOD
892,APOE
893,APOF
894,APOH
895,APOL1
896,APOL2
897,APOL3
898,APOL4
899,APOL5
900,APOL6
901,APOLD1
902,APOM
903,APOO
904,APOOL
905,APOPT1
906,APP
907,APPBP2
908,APPL1
909,APPL2
910,APRT
911,APTR
912,APTX
913,AQP1
914,AQP10
915,AQP11
916,AQP2
917,AQP3
918,AQP4
919,AQP4-AS1
920,AQP5
921,AQP6
922,AQP7
923,AQP7P1
924,AQP8
925,AQP9
926,AQR
927,AR
928,ARAF
929,ARAP1
930,ARAP2
931,ARAP3
932,ARC
933,ARCN1
934,AREG
935,AREL1
936,ARF1
937,ARF3
938,ARF4
939,ARF5
940,ARF6
941,ARFGAP1
942,ARFGAP2
943,ARFGAP3
944,ARFGEF1
945,ARFGEF2
946,ARFGEF3
947,ARFIP1
948,ARFIP2
949,ARFRP1
950,ARG1
951,ARG2
952,ARGLU1
953,ARHGAP1
954,ARHGAP10
955,ARHGAP11A
956,ARHGAP11B
957,ARHGAP12
958,ARHGAP15
959,ARHGAP17
960,ARHGAP18
961,ARHGAP19
962,ARHGAP20
963,ARHGAP21
964,ARHGAP22
965,ARHGAP23
966,ARHGAP24
967,ARHGAP25
968,ARHGAP26
969,ARHGAP27
970,ARHGAP27P1
971,ARHGAP27P1-BPTFP1-KPNA2P3
972,ARHGAP27P2
973,ARHGAP28
974,ARHGAP29
975,ARHGAP30
976,ARHGAP31
977,ARHGAP32
978,ARHGAP33
979,ARHGAP35
980,ARHGAP36
981,ARHGAP39
982,ARHGAP4
983,ARHGAP42
984,ARHGAP44
985,ARHGAP45
986,ARHGAP5
987,ARHGAP5-AS1
988,ARHGAP6
989,ARHGAP9
990,ARHGDIA
991,ARHGDIB
992,ARHGDIG
993,ARHGEF1
994,ARHGEF10
995,ARHGEF10L
996,ARHGEF11
997,ARHGEF12
998,ARHGEF15
999,ARHGEF16
1000,ARHGEF17
1001,ARHGEF18
1002,ARHGEF19
1003,ARHGEF2
1004,ARHGEF25
1005,ARHGEF26
1006,ARHGEF26-AS1
1007,ARHGEF28
1008,ARHGEF3
1009,ARHGEF33
1010,ARHGEF37
1011,ARHGEF38
1012,ARHGEF39
1013,ARHGEF4
1014,ARHGEF40
1015,ARHGEF5
1016,ARHGEF6
1017,ARHGEF7
1018,ARHGEF9
1019,ARID1A
1020,ARID1B
1021,ARID2
1022,ARID3A
1023,ARID3B
1024,ARID3C
1025,ARID4A
1026,ARID4B
1027,ARID5A
1028,ARID5B
1029,ARIH1
1030,ARIH2
1031,ARIH2OS
1032,ARL1
1033,ARL10
1034,ARL11
1035,ARL13A
1036,ARL13B
1037,ARL14
1038,ARL14EP
1039,ARL15
1040,ARL16
1041,ARL17A
1042,ARL17B
1043,ARL2
1044,ARL2BP
1045,ARL3
1046,ARL4A
1047,ARL4C
1048,ARL4D
1049,ARL5A
1050,ARL5B
1051,ARL5C
1052,ARL6
1053,ARL6IP1
1054,ARL6IP4
1055,ARL6IP5
1056,ARL6IP6
1057,ARL8A
1058,ARL8B
1059,ARL9
1060,ARMC1
1061,ARMC10
1062,ARMC12
1063,ARMC2
1064,ARMC3
1065,ARMC4
1066,ARMC5
1067,ARMC6
1068,ARMC7
1069,ARMC8
1070,ARMC9
1071,ARMCX1
1072,ARMCX2
1073,ARMCX3
1074,ARMCX4
1075,ARMCX5
1076,ARMCX6
1077,ARMS2
1078,ARMT1
1079,ARNT
1080,ARNT2
1081,ARNTL
1082,ARNTL2
1083,ARPC1A
1084,ARPC1B
1085,ARPC2
1086,ARPC3
1087,ARPC4
1088,ARPC5
1089,ARPC5L
1090,ARPIN
1091,ARPP19
1092,ARPP21
1093,ARR3
1094,ARRB1
1095,ARRB2
1096,ARRDC1
1097,ARRDC1-AS1
1098,ARRDC2
1099,ARRDC3
1100,ARRDC4
1101,ARRDC5
1102,ARSA
1103,ARSB
1104,ARSD
1105,ARSE
1106,ARSF
1107,ARSG
1108,ARSH
1109,ARSI
1110,ARSJ
1111,ARSK
1112,ART1
1113,ART3
1114,ART4
1115,ART5
1116,ARTN
1117,ARV1
1118,ARVCF
1119,ARX
1120,ASAH1
1121,ASAH2
1122,ASAH2B
1123,ASAP1
1124,ASAP1-IT1
1125,ASAP1-IT2
1126,ASAP2
1127,ASAP3
1128,ASB1
1129,ASB10
1130,ASB11
1131,ASB12
1132,ASB13
1133,ASB14
1134,ASB15
1135,ASB16
1136,ASB16-AS1
1137,ASB17
1138,ASB18
1139,ASB2
1140,ASB4
1141,ASB5
1142,ASB6
1143,ASB7
1144,ASB8
1145,ASB9
1146,ASCC1
1147,ASCC2
1148,ASCC3
1149,ASCL1
1150,ASCL2
1151,ASCL3
1152,ASCL4
1153,ASCL5
1154,ASF1A
1155,ASF1B
1156,ASGR1
1157,ASGR2
1158,ASH1L
1159,ASH1L-AS1
1160,ASH2L
1161,ASIC1
1162,ASIC2
1163,ASIC3
1164,ASIC4
1165,ASIC5
1166,ASIP
1167,ASL
1168,ASMT
1169,ASMTL
1170,ASMTL-AS1
1171,ASNA1
1172,ASNSD1
1173,ASNSP1
1174,ASPA
1175,ASPDH
1176,ASPG
1177,ASPH
1178,ASPHD1
1179,ASPHD2
1180,ASPM
1181,ASPN
1182,ASPRV1
1183,ASPSCR1
1184,ASRGL1
1185,ASS1
1186,ASTE1
1187,ASTL
1188,ASTN1
1189,ASTN2
1190,ASXL1
1191,ASXL2
1192,ASXL3
1193,ASZ1
1194,ATAD1
1195,ATAD2
1196,ATAD2B
1197,ATAD3A
1198,ATAD3B
1199,ATAD3C
1200,ATAD5
1201,ATAT1
1202,ATCAY
1203,ATE1
1204,ATF1
1205,ATF2
1206,ATF3
1207,ATF4
1208,ATF5
1209,ATF6
1210,ATF6B
1211,ATF7
1212,ATF7IP
1213,ATF7IP2
1214,ATG10
1215,ATG101
1216,ATG12
1217,ATG13
1218,ATG14
1219,ATG16L1
1220,ATG16L2
1221,ATG2A
1222,ATG2B
1223,ATG3
1224,ATG4A
1225,ATG4B
1226,ATG4C
1227,ATG4D
1228,ATG5
1229,ATG7
1230,ATG9A
1231,ATG9B
1232,ATIC
1233,ATL1
1234,ATL2
1235,ATL3
1236,ATM
1237,ATMIN
1238,ATN1
1239,ATOH1
1240,ATOH7
1241,ATOH8
1242,ATOX1
1243,ATP10A
1244,ATP10B
1245,ATP10D
1246,ATP11A
1247,ATP11AUN
1248,ATP11B
1249,ATP11C
1250,ATP12A
1251,ATP13A1
1252,ATP13A2
1253,ATP13A3
1254,ATP13A4
1255,ATP13A4-AS1
1256,ATP13A5
1257,ATP1A1
1258,ATP1A1-AS1
1259,ATP1A2
1260,ATP1A3
1261,ATP1A4
1262,ATP1B1
1263,ATP1B2
1264,ATP1B3
1265,ATP1B4
1266,ATP23
1267,ATP2A1
1268,ATP2A2
1269,ATP2A3
1270,ATP2B1
1271,ATP2B2
1272,ATP2B2-IT2
1273,ATP2B3
1274,ATP2B4
1275,ATP2C1
1276,ATP2C2
1277,ATP2C2-AS1
1278,ATP4A
1279,ATP4B
1280,ATP5F1A
1281,ATP5F1B
1282,ATP5F1C
1283,ATP5F1D
1284,ATP5IF1
1285,ATP5MC1
1286,ATP5MC2
1287,ATP5MC3
1288,ATP5MD
1289,ATP5ME
1290,ATP5MF
1291,ATP5MG
1292,ATP5MPL
1293,ATP5PB
1294,ATP5PD
1295,ATP5PF
1296,ATP5PO
1297,ATP5S
1298,ATP6AP1
1299,ATP6AP1L
1300,ATP6AP2
1301,ATP6V0A1
1302,ATP6V0A2
1303,ATP6V0A4
1304,ATP6V0B
1305,ATP6V0C
1306,ATP6V0CP3
1307,ATP6V0D1
1308,ATP6V0D2
1309,ATP6V0E1
1310,ATP6V0E2
1311,ATP6V0E2-AS1
1312,ATP6V1A
1313,ATP6V1B1
1314,ATP6V1B2
1315,ATP6V1C1
1316,ATP6V1C2
1317,ATP6V1D
1318,ATP6V1E1
1319,ATP6V1E2
1320,ATP6V1F
1321,ATP6V1G1
1322,ATP6V1G2
1323,ATP6V1G3
1324,ATP6V1H
1325,ATP7A
1326,ATP7B
1327,ATP8A1
1328,ATP8A2
1329,ATP8B1
1330,ATP8B2
1331,ATP8B3
1332,ATP8B4
1333,ATP8B5P
1334,ATP9A
1335,ATP9B
1336,ATPAF1
1337,ATPAF2
1338,ATR
1339,ATRAID
1340,ATRIP
1341,ATRN
1342,ATRNL1
1343,ATRX
1344,ATXN1
1345,ATXN10
1346,ATXN1L
1347,ATXN2
1348,ATXN2L
1349,ATXN3
1350,ATXN3L
1351,ATXN7
1352,ATXN7L1
1353,ATXN7L2
1354,ATXN7L3
1355,ATXN7L3B
1356,AUH
1357,AUNIP
1358,AUP1
1359,AURKA
1360,AURKAIP1
1361,AURKB
1362,AURKC
1363,AUTS2
1364,AVEN
1365,AVIL
1366,AVL9
1367,AVP
1368,AVPI1
1369,AVPR1A
1370,AVPR1B
1371,AVPR2
1372,AWAT1
1373,AWAT2
1374,AXDND1
1375,AXIN1
1376,AXIN2
1377,AXL
1378,AZGP1
1379,AZI2
1380,AZIN1
1381,AZIN1-AS1
1382,AZIN2
1383,AZU1
1384,B2M
1385,B3GALNT1
1386,B3GALNT2
1387,B3GALT1
1388,B3GALT2
1389,B3GALT4
1390,B3GALT5
1391,B3GALT5-AS1
1392,B3GALT6
1393,B3GAT1
1394,B3GAT2
1395,B3GAT3
1396,B3GLCT
1397,B3GNT10
1398,B3GNT2
1399,B3GNT3
1400,B3GNT4
1401,B3GNT5
1402,B3GNT6
1403,B3GNT7
1404,B3GNT8
1405,B3GNT9
1406,B3GNTL1
1407,B4GALNT1
1408,B4GALNT2
1409,B4GALNT3
1410,B4GALNT4
1411,B4GALT1
1412,B4GALT1-AS1
1413,B4GALT2
1414,B4GALT3
1415,B4GALT4
1416,B4GALT5
1417,B4GALT6
1418,B4GALT7
1419,B4GAT1
1420,B9D1
1421,B9D2
1422,BAALC
1423,BAALC-AS2
1424,BAAT
1425,BABAM1
1426,BABAM2
1427,BACE1
1428,BACE2
1429,BACH1
1430,BACH2
1431,BAD
1432,BAG1
1433,BAG2
1434,BAG3
1435,BAG4
1436,BAG5
1437,BAG6
1438,BAGE
1439,BAHCC1
1440,BAHD1
1441,BAIAP2
1442,BAIAP2-AS1
1443,BAIAP2L1
1444,BAIAP2L2
1445,BAIAP3
1446,BAK1
1447,BAMBI
1448,BANCR
1449,BANF1
1450,BANF2
1451,BANK1
1452,BANP
1453,BAP1
1454,BARD1
1455,BARHL1
1456,BARHL2
1457,BARX1
1458,BARX2
1459,BASP1
1460,BASP1-AS1
1461,BATF
1462,BATF2
1463,BATF3
1464,BAX
1465,BAZ1A
1466,BAZ1B
1467,BAZ2A
1468,BAZ2B
1469,BBC3
1470,BBIP1
1471,BBOF1
1472,BBOX1
1473,BBS1
1474,BBS10
1475,BBS12
1476,BBS2
1477,BBS4
1478,BBS5
1479,BBS7
1480,BBS9
1481,BBX
1482,BCAM
1483,BCAN
1484,BCAP29
1485,BCAP31
1486,BCAR1
1487,BCAR3
1488,BCAR4
1489,BCAS1
1490,BCAS2
1491,BCAS3
1492,BCAS4
1493,BCAT1
1494,BCAT2
1495,BCCIP
1496,BCDIN3D
1497,BCHE
1498,BCKDHA
1499,BCKDHB
1500,BCKDK
1501,BCL10
1502,BCL11A
1503,BCL11B
1504,BCL2
1505,BCL2A1
1506,BCL2L1
1507,BCL2L10
1508,BCL2L11
1509,BCL2L12
1510,BCL2L13
1511,BCL2L14
1512,BCL2L15
1513,BCL2L2
1514,BCL3
1515,BCL6
1516,BCL6B
1517,BCL7A
1518,BCL7B
1519,BCL7C
1520,BCL9
1521,BCL9L
1522,BCLAF1
1523,BCLAF3
1524,BCO1
1525,BCO2
1526,BCOR
1527,BCORL1
1528,BCORP1
1529,BCR
1530,BCRP2
1531,BCS1L
1532,BDH1
1533,BDH2
1534,BDKRB1
1535,BDKRB2
1536,BDNF
1537,BDNF-AS
1538,BDP1
1539,BEAN1
1540,BECN1
1541,BEGAIN
1542,BEND2
1543,BEND3
1544,BEND3P3
1545,BEND4
1546,BEND5
1547,BEND6
1548,BEND7
1549,BEST1
1550,BEST2
1551,BEST3
1552,BEST4
1553,BET1
1554,BET1L
1555,BEX1
1556,BEX2
1557,BEX3
1558,BEX4
1559,BEX5
1560,BFAR
1561,BFSP1
1562,BFSP2
1563,BFSP2-AS1
1564,BGN
1565,BHLHA15
1566,BHLHB9
1567,BHLHE22
1568,BHLHE23
1569,BHLHE40
1570,BHLHE41
1571,BHMT
1572,BHMT2
1573,BICC1
1574,BICD1
1575,BICD2
1576,BICDL1
1577,BICDL2
1578,BICRA
1579,BICRAL
1580,BID
1581,BIK
1582,BIN1
1583,BIN2
1584,BIN3
1585,BIN3-IT1
1586,BIRC2
1587,BIRC3
1588,BIRC5
1589,BIRC6
1590,BIRC7
1591,BIRC8
1592,BIVM
1593,BLACAT1
1594,BLCAP
1595,BLID
1596,BLK
1597,BLM
1598,BLMH
1599,BLNK
1600,BLOC1S1
1601,BLOC1S2
1602,BLOC1S3
1603,BLOC1S4
1604,BLOC1S6
