,genes
603,USP7
604,ETFB
605,PLB1
606,ALS2
607,SLCO2A1
608,BRD7
609,MRPL46
610,CINP
611,BIVM
612,TFIP11
613,FBXO7
614,TRAPPC11
615,MID1IP1
616,KITLG
617,JUN
618,TENM3
619,RASGEF1C
620,RAB11FIP2
621,LYPLA2
622,U2AF2
623,LRRN3
624,PTDSS1
625,FRY
626,KIF3C
627,AP3B1
628,ATIC
629,ADCY7
630,RDM1
631,DENND4A
632,CHML
633,THOC5
634,HABP4
635,NECAB1
636,BBS5
637,CDH22
638,ZDHHC21
639,ENDOD1
640,HSF4
641,LRRTM3
642,PLEKHF1
643,JAKMIP2
644,MGAT4C
645,SRC
646,VPS9D1
647,EPHA5
648,CHRM1
649,NOX4
650,MEX3B
651,CMTM7
652,TMX1
653,NQO2
654,CA4
655,FREM1
656,SGMS1
657,HTR7
658,DAAM1
659,ZIC3
660,MATN2
661,TTC33
662,CBX3
663,KEAP1
664,ERI3
665,MBOAT2
666,PJA1
667,SLC9A9
668,SLC35G1
669,MRAS
670,MAD2L1
671,SCN3B
672,DNMT3B
673,FAM189A1
674,PDRG1
675,SYT6
676,CIDEA
677,HCFC2
678,RMI1
679,GEMIN7
680,NOXO1
681,MCM4
682,EPS15
683,GRIN3A
684,PRR7
685,FUT9
686,COQ3
687,MBNL2
688,ZDHHC14
689,KCNJ2
690,L3MBTL3
691,TBX4
692,LRRC34
693,STBD1
694,GZF1
695,RASAL1
696,DCTN1
697,ANKRD24
698,ZNF488
699,GADD45B
700,AGPAT3
701,AP1G2
702,SYNJ2
703,UBE2K
704,CCDC51
705,PLA2G4A
706,SVOP
707,PTTG1IP
708,ADAP2
709,PCDH9
710,RSBN1
711,ADAMTS16
712,HNRNPU
713,RELN
714,GRINA
715,ZSWIM5
716,ITGB1BP1
717,SPRY1
718,DCLRE1B
719,RAB30
720,PTPRN
721,BAG3
722,DSCC1
723,FAR2
724,MTX2
725,SNX32
726,SLC8A1
727,TGM3
728,ARHGEF6
729,CGREF1
730,EQTN
731,IGDCC4
732,OGT
733,SMC4
734,WDR82
735,IFT88
736,KCTD4
737,PTPN13
738,SYT2
739,TMED10
740,HTR2C
741,FMO2
742,TMBIM4
743,CD9
744,NAF1
745,SPRED1
746,PSAT1
747,CCK
748,PMFBP1
749,KLF12
750,WRAP53
751,PSMG3
752,COL4A2
753,CABLES2
754,IL1B
755,GRIK1
756,MICU3
757,CPS1
758,OPLAH
759,TM7SF3
760,GGACT
761,CEP250
762,STK11IP
763,METTL8
764,HPCAL4
765,TCF4
766,DNAJB14
767,NPTX1
768,BZW1
769,RAB32
770,TEX10
