,genes
762,ATXN1
763,UCHL3
764,PRKAR1B
765,CMC2
766,RRS1
767,OSBPL3
768,TRDN
769,MAPK15
770,PRKD2
771,ATP10A
772,TRAPPC12
773,RIMKLA
774,POU6F1
775,RIC8B
776,ABCA9
777,CEP135
778,KREMEN1
779,LRRN2
780,NXPE3
781,KCNN3
782,HAS1
783,KCNMB1
784,SSPN
785,GABRA3
786,HMGN1
787,MYO1D
788,ZBTB11
789,LHFPL2
790,COL6A1
791,CPNE9
792,CCDC15
793,UBE3D
794,ABCA4
795,ARHGAP15
796,TMEM189
797,PPIP5K1
798,PDZD2
799,UNC5C
800,CECR2
801,MEDAG
802,TIMP2
803,RASA2
804,C1GALT1
805,CHTF8
806,ANKRD34C
807,TNFRSF4
808,CEBPD
809,PTPN14
810,CCDC90B
811,CMTM8
812,PPL
813,POLDIP2
814,NADSYN1
815,MYH10
816,ATP2B4
817,USP24
818,TGFA
819,NDUFV1
820,PSMD12
821,SCGN
822,NR1D2
823,KCNK12
824,CGNL1
825,FAM193A
826,BPHL
827,HSPA12B
828,IL1RAP
829,IVD
830,SESN2
831,NOD1
832,GPR183
833,ARHGEF11
834,ALG3
835,GNPTG
836,ARL4A
837,FCER1G
838,SMG7
839,C2CD2
840,GSK3B
841,UVRAG
842,SLC17A8
843,SNUPN
844,CKMT1B
845,PRDM2
846,C2CD3
847,ITGA11
848,TMEM97
849,MAPK14
850,STX6
851,CTSO
852,CD55
853,ST8SIA1
854,SPC25
855,ZEB1
856,ETNK1
857,NPAT
858,SBNO2
859,ACSS2
860,DPYS
861,PPP1R12A
862,LAMP2
863,EPCAM
864,PCBP3
865,ASPG
866,ISLR2
867,KCNC1
868,SPSB3
869,MED20
870,REST
871,NUDT22
872,LYN
873,DGKB
874,IER5L
875,FGF1
876,VWA5A
877,UTP15
878,FITM2
879,RNF157
880,ADAMTS3
881,UBN1
882,NECAP1
883,MAMDC2
884,FKBP10
885,PPARD
886,CACNB2
887,HS3ST1
888,E2F5
889,GBA2
890,MRPL50
891,ACVR2A
892,MRPL48
893,ARID3B
894,NUDT15
895,SIRT7
896,TGFBR1
897,SPRYD7
898,PANK4
899,FEZF1
900,NEUROG2
901,DDX5
902,DAPK1
903,C2CD4C
904,RGS22
905,SOGA1
906,PPEF1
907,R3HDM2
908,RND3
909,GALNTL6
910,DHX29
911,SETDB1
912,XKR6
913,LRRC40
914,ARID5B
915,GNB4
916,KLHL11
917,AURKA
918,ASB5
919,GPCPD1
920,MPND
921,NUSAP1
922,CENPJ
923,GALNT16
924,SPAG1
925,OSBPL10
926,SLC2A10
927,SCN2B
928,DCAF17
929,INTS4
930,HHEX
931,STRADA
932,DHRS13
933,WTIP
934,IMMT
935,CLSTN3
936,MCM5
937,STRBP
938,PTCHD1
939,BBS1
940,SMIM14
941,PPP3CA
942,RAB37
943,RSPH9
944,DLG2
945,PGP
946,SRXN1
947,FBXL12
948,NFIX
949,CARS2
950,RAPGEF1
951,GLRX
952,LRAT
953,ATRNL1
954,DNAH12
955,PIK3CG
956,EME2
957,TSC22D1
958,AKR1A1
959,MRPL16
960,GON4L
961,DHX32
962,PSMB8
963,CEP68
964,SOWAHC
965,NEFH
966,FBXO28
967,ACVR2B
968,RAVER2
969,GRIN1
970,NRIP3
971,FERMT2
972,CAGE1
973,GID8
974,MAP9
975,ACY3
976,ZCCHC2
977,PRMT5
978,HCK
979,STAT4
980,ST3GAL3
981,YIPF2
982,ETHE1
983,TEP1
984,TNPO2
985,CHGA
986,SUPT16H
987,MCM7
988,ARHGAP4
989,MMP17
990,PIM1
991,METTL25
992,TMUB2
993,MPZL3
994,IGFBP2
995,SLU7
996,CDC14A
997,CUEDC1
998,DCDC2
999,BAIAP3
1000,ANKRD37
1001,TMEM8B
1002,LRRC4
1003,TPD52L1
1004,TMEM176B
1005,CDK5RAP2
1006,MAP2K5
1007,FNIP2
1008,NDRG3
1009,SGSM2
1010,KCNJ8
1011,PKDCC
1012,NRN1L
1013,NMT2
1014,COX5A
1015,ARHGEF3
1016,TAGLN2
1017,METTL24
1018,FGF17
1019,YPEL3
1020,CIZ1
1021,UQCRC1
1022,SUN1
1023,RAC2
1024,TMEM104
1025,PFKP
1026,TIGD3
1027,FOXRED1
1028,PSTPIP1
1029,PCBD2
1030,NDUFA10
1031,ARHGAP42
1032,MYBPH
1033,COL23A1
1034,STC2
1035,FAM217A
1036,KCTD5
1037,ASCC2
1038,SLC38A2
1039,CEP104
1040,MFHAS1
1041,TNFSF13B
1042,ATPAF2
1043,F2R
1044,OLFM2
1045,DIP2C
1046,TCF7L2
1047,GAL3ST4
1048,USP2
1049,SDHD
1050,KIF23
1051,COL7A1
1052,ATP6V0A2
1053,CIAPIN1
1054,DZIP1L
1055,MAP3K1
1056,STK24
1057,METTL14
1058,AGMAT
1059,RABL2A
1060,MYCL
1061,NIM1K
1062,PSPC1
1063,CORT
1064,RNF115
1065,SATB2
1066,GMCL1
1067,N4BP3
1068,CNNM4
1069,CHST14
1070,AKAP14
1071,PLCXD3
1072,SPHKAP
1073,BTG1
1074,PECR
1075,ANKRD29
1076,RASIP1
1077,CPNE7
1078,SH2B1
1079,SAMD4A
1080,COPG2
1081,OXNAD1
1082,ARIH2
1083,PCDH8
1084,KRI1
1085,ALDH9A1
1086,DOK7
1087,VSTM2A
1088,PTPN3
1089,KCNH5
1090,GATAD2B
1091,MAN1A1
1092,FAT1
1093,SHCBP1
1094,MCF2L
1095,GRIK2
1096,CACNA2D3
1097,RBFOX2
1098,MAP3K11
1099,NR1D1
1100,TEFM
1101,NRP2
1102,SLC39A14
1103,PLIN3
1104,SYPL2
1105,HIBADH
1106,HAPLN4
1107,CXADR
1108,GSAP
1109,OPCML
1110,FAM110A
1111,CACNG2
1112,NGEF
1113,PDGFC
1114,ATXN1L
1115,SUPV3L1
1116,ABCD3
1117,PITPNM1
1118,PDE4A
1119,MRPS22
1120,SCN1B
1121,STIM2
1122,TNNI3
1123,GRPEL2
1124,SOGA3
1125,TMEM183A
1126,RPF1
1127,RHOV
1128,HS3ST5
1129,FAM114A1
1130,EIF5
1131,HEPACAM
1132,SPHK2
1133,TADA1
1134,BEST1
1135,SKAP2
1136,MAVS
1137,SEMA4C
1138,TECR
1139,CETN3
1140,STAC
1141,OSBPL5
1142,C11orf68
1143,ATG2B
1144,OLIG2
1145,YAP1
1146,ALCAM
1147,JAKMIP3
1148,CDAN1
1149,C11orf87
1150,MAEL
1151,CAMTA2
1152,LIN28B
1153,MATK
1154,KIAA0319L
1155,PWWP2A
1156,WDR55
1157,BNC2
1158,IGF2BP2
1159,AIFM2
1160,TMEM150C
1161,ARHGAP23
1162,RRNAD1
1163,TMCO6
1164,FKBP9
1165,UNC13A
1166,CCDC146
1167,METTL17
1168,MMAA
1169,C6orf47
1170,PDGFD
1171,ECD
1172,STAC2
1173,RIF1
1174,DNAH5
1175,DUT
1176,HSD17B7
1177,KANK1
1178,SRGAP1
1179,PYGO1
1180,ENC1
1181,CCNL1
1182,PRKD1
1183,STAMBPL1
1184,S1PR1
1185,ST8SIA4
1186,DMGDH
1187,TXLNB
1188,THEM6
1189,NSMCE4A
1190,F3
1191,MYH15
1192,ZBBX
1193,SELPLG
1194,ARHGEF40
1195,CHRAC1
1196,ABLIM2
1197,RXFP2
1198,CDKL1
1199,SPTBN4
1200,COPG1
1201,TARDBP
1202,NSUN6
1203,GABRG2
1204,ETV5
1205,NTHL1
1206,PRCP
1207,TXNDC9
1208,ZNF263
1209,MRPS12
1210,OGFR
1211,PPP2R5E
1212,CACNA1G
1213,STEAP3
1214,SGPL1
1215,OCIAD2
1216,TMEM141
1217,TRIM26
1218,ZBTB33
1219,DERL1
1220,CIDEB
1221,IGFBP5
1222,NOB1
1223,KLF8
1224,ARHGAP26
1225,IPO5
1226,FAM13C
1227,LINGO4
1228,AP1B1
1229,DHX35
1230,LIX1
1231,FAM149A
